Series,Iteration,Average Time (ms)
Total Average Time,1,646.5
Current Action Time,1,646.5
Total Average Time,2,678.5
Current Action Time,2,710.5
Total Average Time,3,670.9166666666666
Current Action Time,3,655.75
Total Average Time,4,638.1875
Current Action Time,4,540.0
Total Average Time,5,622.0
Current Action Time,5,557.25
Total Average Time,6,605.0333333333333
Current Action Time,6,520.2
Total Average Time,7,596.6857142857143
Current Action Time,7,546.6
Total Average Time,8,586.2875
Current Action Time,8,513.5
Total Average Time,9,582.2333333333333
Current Action Time,9,549.8
Total Average Time,10,582.86
Current Action Time,10,588.5
Total Average Time,11,578.2909090909092
Current Action Time,11,532.6
Total Average Time,12,575.2458333333334
Current Action Time,12,541.75
Total Average Time,13,576.0346153846154
Current Action Time,13,585.5
Total Average Time,14,586.3000000000001
Current Action Time,14,719.75
Total Average Time,15,581.0133333333334
Current Action Time,15,507.0
Total Average Time,16,580.153125
Current Action Time,16,567.25
Total Average Time,17,577.2382352941177
Current Action Time,17,530.6
Total Average Time,18,574.1138888888889
Current Action Time,18,521.0
Total Average Time,19,570.0657894736843
Current Action Time,19,497.2
Total Average Time,20,567.8525000000001
Current Action Time,20,525.8
Total Average Time,21,572.5619047619048
Current Action Time,21,666.75
Total Average Time,22,572.3886363636365
Current Action Time,22,568.75
Total Average Time,23,570.5282608695653
Current Action Time,23,529.6
Total Average Time,24,568.06875
Current Action Time,24,511.5
Total Average Time,25,567.2420000000001
Current Action Time,25,547.4
Total Average Time,26,565.7807692307692
Current Action Time,26,529.25
Total Average Time,27,565.025925925926
Current Action Time,27,545.4
Total Average Time,28,563.7392857142858
Current Action Time,28,529.0
Total Average Time,29,566.4724137931034
Current Action Time,29,643.0
Total Average Time,30,566.4316666666667
Current Action Time,30,565.25
Total Average Time,31,566.7596774193548
Current Action Time,31,576.6
Total Average Time,32,565.196875
Current Action Time,32,516.75
Total Average Time,33,563.5242424242424
Current Action Time,33,510.0
Total Average Time,34,563.2661764705882
Current Action Time,34,554.75
Total Average Time,35,563.7228571428572
Current Action Time,35,579.25
Total Average Time,36,561.8361111111111
Current Action Time,36,495.8
Total Average Time,37,562.3324324324324
Current Action Time,37,580.2
Total Average Time,38,564.4618421052631
Current Action Time,38,643.25
Total Average Time,39,563.3858974358974
Current Action Time,39,522.5
Total Average Time,40,563.9762499999999
Current Action Time,40,587.0
Total Average Time,41,564.2743902439024
Current Action Time,41,576.2
Total Average Time,42,564.4285714285714
Current Action Time,42,570.75
Total Average Time,43,564.6918604651163
Current Action Time,43,575.75
Total Average Time,44,564.8625000000001
Current Action Time,44,572.2
Total Average Time,45,565.3211111111111
Current Action Time,45,585.5
Total Average Time,46,565.45
Current Action Time,46,571.25
Total Average Time,47,565.2276595744681
Current Action Time,47,555.0
Total Average Time,48,566.1760416666667
Current Action Time,48,610.75
Total Average Time,49,565.3275510204081
Current Action Time,49,524.6
Total Average Time,50,564.321
Current Action Time,50,515.0
