Series,Iteration,Average Time (ms)
Total Average Time,1,3036.0
Current Action Time,1,3036.0
Total Average Time,2,3184.0
Current Action Time,2,3332.0
Total Average Time,3,4544.333333333333
Current Action Time,3,7265.0
Total Average Time,4,4827.0
Current Action Time,4,5675.0
Total Average Time,5,4361.3
Current Action Time,5,2498.5
Total Average Time,6,4078.75
Current Action Time,6,2666.0
Total Average Time,7,4025.214285714286
Current Action Time,7,3704.0
Total Average Time,8,4470.0625
Current Action Time,8,7584.0
Total Average Time,9,4655.277777777777
Current Action Time,9,6137.0
Total Average Time,10,4461.15
Current Action Time,10,2714.0
Total Average Time,11,4362.227272727273
Current Action Time,11,3373.0
Total Average Time,12,4300.375
Current Action Time,12,3620.0
Total Average Time,13,4243.423076923077
Current Action Time,13,3560.0
Total Average Time,14,4467.607142857143
Current Action Time,14,7382.0
Total Average Time,15,4576.633333333333
Current Action Time,15,6103.0
Total Average Time,16,4686.96875
Current Action Time,16,6342.0
Total Average Time,17,4573.970588235294
Current Action Time,17,2766.0
Total Average Time,18,4413.833333333333
Current Action Time,18,1691.5
Total Average Time,19,4346.263157894737
Current Action Time,19,3130.0
