Series,Iteration,Average Time (ms)
Total Average Time,1,7.2
Current Action Time,1,7.2
Total Average Time,2,52.35
Current Action Time,2,97.5
Total Average Time,3,40.492592592592594
Current Action Time,3,16.77777777777778
Total Average Time,4,35.28611111111111
Current Action Time,4,19.666666666666668
Total Average Time,5,33.251111111111115
Current Action Time,5,25.11111111111111
Total Average Time,6,33.492592592592594
Current Action Time,6,34.7
Total Average Time,7,34.898412698412706
Current Action Time,7,43.333333333333336
Total Average Time,8,36.68888888888889
Current Action Time,8,49.22222222222222
Total Average Time,9,38.77283950617284
Current Action Time,9,55.44444444444444
Total Average Time,10,41.61777777777778
Current Action Time,10,67.22222222222223
Total Average Time,11,45.03888888888889
Current Action Time,11,79.25
Total Average Time,12,48.95231481481482
Current Action Time,12,92.0
Total Average Time,13,53.013675213675214
Current Action Time,13,101.75
Total Average Time,14,70.90555555555555
Current Action Time,14,303.5
Total Average Time,15,74.6451851851852
Current Action Time,15,127.0
Total Average Time,16,78.96423611111112
Current Action Time,16,143.75
Total Average Time,17,83.65751633986929
Current Action Time,17,158.75
Total Average Time,18,88.49400352733687
Current Action Time,18,170.71428571428572
Total Average Time,19,93.58830409356726
Current Action Time,19,185.28571428571428
Total Average Time,20,99.3088888888889
Current Action Time,20,208.0
Total Average Time,21,105.83386243386245
Current Action Time,21,236.33333333333334
Total Average Time,22,112.30353535353537
Current Action Time,22,248.16666666666666
Total Average Time,23,118.64541062801932
Current Action Time,23,258.1666666666667
Total Average Time,24,125.61157407407408
Current Action Time,24,285.8333333333333
Total Average Time,25,132.77377777777778
Current Action Time,25,304.6666666666667
Total Average Time,26,151.0517094017094
Current Action Time,26,608.0
Total Average Time,27,158.58312757201645
Current Action Time,27,354.4
Total Average Time,28,165.98373015873017
Current Action Time,28,365.8
Total Average Time,29,174.30842911877394
Current Action Time,29,407.4
Total Average Time,30,182.8514814814815
Current Action Time,30,430.6
Total Average Time,31,191.46272401433694
Current Action Time,31,449.8
Total Average Time,32,199.9232638888889
Current Action Time,32,462.2
Total Average Time,33,208.883164983165
Current Action Time,33,495.6
Total Average Time,34,218.39248366013072
Current Action Time,34,532.2
Total Average Time,35,227.92412698412699
Current Action Time,35,552.0
Total Average Time,36,237.4595679012346
Current Action Time,36,571.2
Total Average Time,37,247.37282282282285
Current Action Time,37,604.25
Total Average Time,38,258.17880116959066
Current Action Time,38,658.0
Total Average Time,39,275.2853276353277
Current Action Time,39,925.3333333333334
Total Average Time,40,285.9281944444445
Current Action Time,40,701.0
Total Average Time,41,296.53970189701903
Current Action Time,41,721.0
Total Average Time,42,307.84232804232806
Current Action Time,42,771.25
Total Average Time,43,319.67157622739023
Current Action Time,43,816.5
Total Average Time,44,331.6051767676768
Current Action Time,44,844.75
Total Average Time,45,343.75839506172844
Current Action Time,45,878.5
Total Average Time,46,355.94299516908217
Current Action Time,46,904.25
Total Average Time,47,368.4690307328606
Current Action Time,47,944.6666666666666
Total Average Time,48,382.46620370370374
Current Action Time,48,1040.3333333333333
Total Average Time,49,396.29342403628124
Current Action Time,49,1060.0
Total Average Time,50,411.6142222222222
Current Action Time,50,1162.3333333333333
Total Average Time,51,425.0662309368192
Current Action Time,51,1097.6666666666667
Total Average Time,52,438.99444444444447
Current Action Time,52,1149.3333333333333
Total Average Time,53,453.5700209643606
Current Action Time,53,1211.5
Total Average Time,54,468.24465020576133
Current Action Time,54,1246.0
Total Average Time,55,483.8765656565657
Current Action Time,55,1328.0
Total Average Time,56,499.06924603174605
Current Action Time,56,1334.6666666666667
Total Average Time,57,514.5300194931774
Current Action Time,57,1380.3333333333333
Total Average Time,58,528.5955938697318
Current Action Time,58,1330.3333333333333
Total Average Time,59,544.8736346516007
Current Action Time,59,1489.0
Total Average Time,60,561.6340740740741
Current Action Time,60,1550.5
Total Average Time,61,577.2575591985427
Current Action Time,61,1514.6666666666667
Total Average Time,62,593.248028673835
Current Action Time,62,1568.6666666666667
Total Average Time,63,610.5139329805995
Current Action Time,63,1681.0
Total Average Time,64,624.9121527777777
Current Action Time,64,1532.0
Total Average Time,65,640.459658119658
Current Action Time,65,1635.5
Total Average Time,66,656.7178451178451
Current Action Time,66,1713.5
Total Average Time,67,676.363847429519
Current Action Time,67,1973.0
Total Average Time,68,693.0423202614378
Current Action Time,68,1810.5
Total Average Time,69,708.9909822866343
Current Action Time,69,1793.5
Total Average Time,70,725.2553968253967
Current Action Time,70,1847.5
Total Average Time,71,741.7236306729263
Current Action Time,71,1894.5
Total Average Time,72,758.3802469135802
Current Action Time,72,1941.0
Total Average Time,73,774.9092846270928
Current Action Time,73,1965.0
Total Average Time,74,792.0388888888888
Current Action Time,74,2042.5
Total Average Time,75,814.5517037037037
Current Action Time,75,2480.5
Total Average Time,76,831.5378654970759
Current Action Time,76,2105.5
Total Average Time,77,848.7126984126984
Current Action Time,77,2154.0
Total Average Time,78,866.2676638176638
Current Action Time,78,2218.0
Total Average Time,79,883.2073136427566
Current Action Time,79,2204.5
Total Average Time,80,900.6422222222221
Current Action Time,80,2278.0
Total Average Time,81,918.3194787379972
Current Action Time,81,2332.5
Total Average Time,82,937.0168021680216
Current Action Time,82,2451.5
Total Average Time,83,955.5708165997322
Current Action Time,83,2477.0
Total Average Time,84,973.4449735449734
Current Action Time,84,2457.0
Total Average Time,85,991.5162091503267
Current Action Time,85,2509.5
Total Average Time,86,1016.4520671834624
Current Action Time,86,3136.0
Total Average Time,87,1034.762962962963
Current Action Time,87,2609.5
Total Average Time,88,1053.191792929293
Current Action Time,88,2656.5
Total Average Time,89,1072.605368289638
Current Action Time,89,2781.0
Total Average Time,90,1091.820864197531
Current Action Time,90,2802.0
Total Average Time,91,1111.229426129426
Current Action Time,91,2858.0
Total Average Time,92,1131.4008454106279
Current Action Time,92,2967.0
Total Average Time,93,1150.9664277180404
Current Action Time,93,2951.0
Total Average Time,94,1171.456146572104
Current Action Time,94,3077.0
Total Average Time,95,1196.8723976608187
Current Action Time,95,3586.0
Total Average Time,96,1225.6862268518519
Current Action Time,96,3963.0
Total Average Time,97,1246.4420389461627
Current Action Time,97,3239.0
Total Average Time,98,1267.151814058957
Current Action Time,98,3276.0
Total Average Time,99,1288.4735129068463
Current Action Time,99,3378.0
Total Average Time,100,1310.3487777777777
Current Action Time,100,3476.0
Total Average Time,101,1332.7116611661168
Current Action Time,101,3569.0
Total Average Time,102,1354.4203703703704
Current Action Time,102,3547.0
Total Average Time,103,1376.212405609493
Current Action Time,103,3599.0
Total Average Time,104,1398.6334401709403
Current Action Time,104,3708.0
Total Average Time,105,1420.2274074074076
Current Action Time,105,3666.0
Total Average Time,106,1443.4894129979036
Current Action Time,106,3886.0
Total Average Time,107,1466.054932502596
Current Action Time,107,3858.0
Total Average Time,108,1488.526646090535
Current Action Time,108,3893.0
Total Average Time,109,1511.1089704383282
Current Action Time,109,3950.0
Total Average Time,110,1533.0716161616162
Current Action Time,110,3927.0
