Series,Iteration,Average Time (ms)
Total Average Time,1,12.4
Current Action Time,1,12.4
Total Average Time,2,53.644444444444446
Current Action Time,2,94.88888888888889
Total Average Time,3,47.66296296296296
Current Action Time,3,35.7
Total Average Time,4,48.17222222222222
Current Action Time,4,49.7
Total Average Time,5,52.55999999999999
Current Action Time,5,70.11111111111111
Total Average Time,6,59.02222222222221
Current Action Time,6,91.33333333333333
Total Average Time,7,66.92380952380951
Current Action Time,7,114.33333333333333
Total Average Time,8,112.28333333333333
Current Action Time,8,429.8
Total Average Time,9,119.48796296296297
Current Action Time,9,177.125
Total Average Time,10,128.22488095238094
Current Action Time,10,206.85714285714286
Total Average Time,11,140.74989177489178
Current Action Time,11,266.0
Total Average Time,12,153.02073412698414
Current Action Time,12,288.0
Total Average Time,13,164.08067765567768
Current Action Time,13,296.8
Total Average Time,14,178.1106292517007
Current Action Time,14,360.5
Total Average Time,15,197.95880952380955
Current Action Time,15,475.8333333333333
Total Average Time,16,221.84888392857147
Current Action Time,16,580.2
Total Average Time,17,243.0244397759104
Current Action Time,17,581.8333333333334
Total Average Time,18,279.6897486772487
Current Action Time,18,903.0
Total Average Time,19,299.65344611528826
Current Action Time,19,659.0
Total Average Time,20,325.03744047619045
Current Action Time,20,807.3333333333334
Total Average Time,21,341.0118480725624
Current Action Time,21,660.5
Total Average Time,22,358.14767316017316
Current Action Time,22,718.0
Total Average Time,23,388.14125258799174
Current Action Time,23,1048.0
Total Average Time,24,409.7082837301587
Current Action Time,24,905.75
Total Average Time,25,431.0999523809524
Current Action Time,25,944.5
Total Average Time,26,467.98072344322344
Current Action Time,26,1390.0
Total Average Time,27,497.31477072310406
Current Action Time,27,1260.0
Total Average Time,28,515.8035289115646
Current Action Time,28,1015.0
Total Average Time,29,543.8275451559934
Current Action Time,29,1328.5
Total Average Time,30,573.0332936507936
Current Action Time,30,1420.0
Total Average Time,31,590.3763056835637
Current Action Time,31,1110.6666666666667
Total Average Time,32,609.6145461309524
Current Action Time,32,1206.0
Total Average Time,33,647.7171356421356
Current Action Time,33,1867.0
Total Average Time,34,660.6078081232492
Current Action Time,34,1086.0
Total Average Time,35,703.7904421768708
Current Action Time,35,2172.0
Total Average Time,36,714.6018187830688
Current Action Time,36,1093.0
Total Average Time,37,733.9008687258687
Current Action Time,37,1428.6666666666667
Total Average Time,38,754.2982142857143
Current Action Time,38,1509.0
Total Average Time,39,776.2734737484737
Current Action Time,39,1611.3333333333333
Total Average Time,40,798.7416369047619
Current Action Time,40,1675.0
Total Average Time,41,811.0040360046459
Current Action Time,41,1301.5
Total Average Time,42,856.86108276644
Current Action Time,42,2737.0
Total Average Time,43,916.7945459579181
Current Action Time,43,3434.0
Total Average Time,44,939.405275974026
Current Action Time,44,1911.6666666666667
Total Average Time,45,952.0740476190476
Current Action Time,45,1509.5
Total Average Time,46,966.6267857142857
Current Action Time,46,1621.5
Total Average Time,47,1013.7411094224924
Current Action Time,47,3181.0
Total Average Time,48,1028.329836309524
Current Action Time,48,1714.0
Total Average Time,49,1041.8741253644314
Current Action Time,49,1692.0
Total Average Time,50,1092.916642857143
Current Action Time,50,3594.0
