Series,Iteration,Average Time (ms)
Total Average Time,1,3.9
Current Action Time,1,3.9
Total Average Time,2,51.825
Current Action Time,2,99.75
Total Average Time,3,38.80925925925926
Current Action Time,3,12.777777777777779
Total Average Time,4,54.231944444444444
Current Action Time,4,100.5
Total Average Time,5,48.56333333333333
Current Action Time,5,25.88888888888889
Total Average Time,6,46.31944444444445
Current Action Time,6,35.1
Total Average Time,7,68.57993197278913
Current Action Time,7,202.14285714285714
Total Average Time,8,66.97619047619048
Current Action Time,8,55.75
Total Average Time,9,91.62698412698413
Current Action Time,9,288.8333333333333
Total Average Time,10,90.6420634920635
Current Action Time,10,81.77777777777777
Total Average Time,11,110.33694083694083
Current Action Time,11,307.2857142857143
Total Average Time,12,110.5067791005291
Current Action Time,12,112.375
Total Average Time,13,126.95497557997557
Current Action Time,13,324.3333333333333
Total Average Time,14,128.53854875283446
Current Action Time,14,149.125
Total Average Time,15,131.1121693121693
Current Action Time,15,167.14285714285714
Total Average Time,16,134.66765873015873
Current Action Time,16,188.0
Total Average Time,17,139.18300653594773
Current Action Time,17,211.42857142857142
Total Average Time,18,144.6172839506173
Current Action Time,18,237.0
Total Average Time,19,150.65497076023394
Current Action Time,19,259.3333333333333
Total Average Time,20,157.3888888888889
Current Action Time,20,285.3333333333333
Total Average Time,21,165.22751322751324
Current Action Time,21,322.0
Total Average Time,22,175.20808080808084
Current Action Time,22,384.8
Total Average Time,23,183.75700483091788
Current Action Time,23,371.8333333333333
Total Average Time,24,192.91712962962967
Current Action Time,24,403.6
Total Average Time,25,202.45644444444446
Current Action Time,25,431.4
Total Average Time,26,212.70811965811967
Current Action Time,26,469.0
Total Average Time,27,223.5411522633745
Current Action Time,27,505.2
Total Average Time,28,235.0718253968254
Current Action Time,28,546.4
Total Average Time,29,246.89003831417625
Current Action Time,29,577.8
Total Average Time,30,259.20203703703703
Current Action Time,30,616.25
Total Average Time,31,271.8890681003584
Current Action Time,31,652.5
Total Average Time,32,285.2050347222222
Current Action Time,32,698.0
Total Average Time,33,299.0245791245791
Current Action Time,33,741.25
Total Average Time,34,313.6782679738562
Current Action Time,34,797.25
Total Average Time,35,328.2446031746031
Current Action Time,35,823.5
Total Average Time,36,343.3766975308642
Current Action Time,36,873.0
Total Average Time,37,359.0512012012012
Current Action Time,37,923.3333333333334
Total Average Time,38,375.19897660818714
Current Action Time,38,972.6666666666666
Total Average Time,39,391.6981481481481
Current Action Time,39,1018.6666666666666
Total Average Time,40,408.83902777777774
Current Action Time,40,1077.3333333333333
Total Average Time,41,426.55840108401077
Current Action Time,41,1135.3333333333333
Total Average Time,42,444.30701058201055
Current Action Time,42,1172.0
Total Average Time,43,462.8735142118863
Current Action Time,43,1242.6666666666667
Total Average Time,44,481.5430555555555
Current Action Time,44,1284.3333333333333
Total Average Time,45,506.2198765432098
Current Action Time,45,1592.0
Total Average Time,46,531.1498792270531
Current Action Time,46,1653.0
Total Average Time,47,556.2105200945626
Current Action Time,47,1709.0
Total Average Time,48,581.7373842592592
Current Action Time,48,1781.5
Total Average Time,49,607.8345804988662
Current Action Time,49,1860.5
Total Average Time,50,628.5078888888888
Current Action Time,50,1641.5
Total Average Time,51,655.6253812636165
Current Action Time,51,2011.5
Total Average Time,52,677.12297008547
Current Action Time,52,1773.5
Total Average Time,53,704.422536687631
Current Action Time,53,2124.0
Total Average Time,54,727.9795267489711
Current Action Time,54,1976.5
Total Average Time,55,756.3071717171716
Current Action Time,55,2286.0
Total Average Time,56,778.1052579365079
Current Action Time,56,1977.0
Total Average Time,57,801.919200779727
Current Action Time,57,2135.5
Total Average Time,58,824.9119731800766
Current Action Time,58,2135.5
Total Average Time,59,849.8287193973634
Current Action Time,59,2295.0
Total Average Time,60,873.7149074074074
Current Action Time,60,2283.0
Total Average Time,61,896.8261384335154
Current Action Time,61,2283.5
Total Average Time,62,921.1837813620072
Current Action Time,62,2407.0
Total Average Time,63,944.7443562610229
Current Action Time,63,2405.5
Total Average Time,64,970.0217881944444
Current Action Time,64,2562.5
Total Average Time,65,993.6906837606838
Current Action Time,65,2508.5
Total Average Time,66,1017.1499158249159
Current Action Time,66,2542.0
Total Average Time,67,1042.5282752902156
Current Action Time,67,2717.5
Total Average Time,68,1068.7190359477124
Current Action Time,68,2823.5
Total Average Time,69,1093.940499194847
Current Action Time,69,2809.0
Total Average Time,70,1119.698492063492
Current Action Time,70,2897.0
Total Average Time,71,1146.0618935837247
Current Action Time,71,2991.5
Total Average Time,72,1173.9290895061729
Current Action Time,72,3152.5
Total Average Time,73,1201.7725266362254
Current Action Time,73,3206.5
Total Average Time,74,1227.072897897898
Current Action Time,74,3074.0
Total Average Time,75,1252.791925925926
Current Action Time,75,3156.0
Total Average Time,76,1279.636769005848
Current Action Time,76,3293.0
Total Average Time,77,1305.7064213564215
Current Action Time,77,3287.0
Total Average Time,78,1332.0819800569802
Current Action Time,78,3363.0
Total Average Time,79,1358.7518284106893
Current Action Time,79,3439.0
Total Average Time,80,1388.2924305555557
Current Action Time,80,3722.0
Total Average Time,81,1416.2888203017833
Current Action Time,81,3656.0
Total Average Time,82,1443.7974932249324
Current Action Time,82,3672.0
Total Average Time,83,1471.9083668005355
Current Action Time,83,3777.0
Total Average Time,84,1500.0642195767196
Current Action Time,84,3837.0
Total Average Time,85,1531.3222875816994
Current Action Time,85,4157.0
Total Average Time,86,1561.702260981912
Current Action Time,86,4144.0
Total Average Time,87,1590.5792464878673
Current Action Time,87,4074.0
Total Average Time,88,1621.2772095959597
Current Action Time,88,4292.0
