Series,Iteration,Average Time (ms)
Total Average Time,1,1.6
Current Action Time,1,1.6
Total Average Time,2,45.02222222222222
Current Action Time,2,88.44444444444444
Total Average Time,3,34.75555555555555
Current Action Time,3,14.222222222222221
Total Average Time,4,46.97291666666666
Current Action Time,4,83.625
Total Average Time,5,42.37833333333333
Current Action Time,5,24.0
Total Average Time,6,41.015277777777776
Current Action Time,6,34.2
Total Average Time,7,63.931462585034005
Current Action Time,7,201.42857142857142
Total Average Time,8,62.21780753968253
Current Action Time,8,50.22222222222222
Total Average Time,9,77.90789241622574
Current Action Time,9,203.42857142857142
Total Average Time,10,77.91710317460317
Current Action Time,10,78.0
Total Average Time,11,79.1632756132756
Current Action Time,11,91.625
Total Average Time,12,98.46911375661375
Current Action Time,12,310.8333333333333
Total Average Time,13,100.36572039072038
Current Action Time,13,123.125
Total Average Time,14,118.79197845804988
Current Action Time,14,358.3333333333333
Total Average Time,15,121.43441798941798
Current Action Time,15,158.42857142857142
Total Average Time,16,125.06798115079364
Current Action Time,16,179.57142857142858
Total Average Time,17,145.781629318394
Current Action Time,17,477.2
Total Average Time,18,150.111221340388
Current Action Time,18,223.71428571428572
Total Average Time,19,170.42115705931496
Current Action Time,19,536.0
Total Average Time,20,175.7000992063492
Current Action Time,20,276.0
Total Average Time,21,195.81914210128494
Current Action Time,21,598.2
Total Average Time,22,201.59099927849928
Current Action Time,22,322.8
Total Average Time,23,220.72834713595583
Current Action Time,23,641.75
Total Average Time,24,227.83133267195765
Current Action Time,24,391.2
Total Average Time,25,235.11807936507935
Current Action Time,25,410.0
Total Average Time,26,253.767384004884
Current Action Time,26,720.0
Total Average Time,27,262.02785126396236
Current Action Time,27,476.8
Total Average Time,28,279.21435657596373
Current Action Time,28,743.25
Total Average Time,29,289.09662014230975
Current Action Time,29,565.8
Total Average Time,30,299.2000661375661
Current Action Time,30,592.2
Total Average Time,31,318.79845110087047
Current Action Time,31,906.75
Total Average Time,32,329.87506200396825
Current Action Time,32,673.25
Total Average Time,33,347.159151034151
Current Action Time,33,900.25
Total Average Time,34,360.8799603174603
Current Action Time,34,813.6666666666666
Total Average Time,35,373.34767573696143
