Series,Iteration,Average Time (ms)
Total Average Time,1,3.7
Current Action Time,1,3.7
Total Average Time,2,51.35
Current Action Time,2,99.0
Total Average Time,3,38.3074074074074
Current Action Time,3,12.222222222222221
Total Average Time,4,33.18055555555556
Current Action Time,4,17.8
Total Average Time,5,31.633333333333336
Current Action Time,5,25.444444444444443
Total Average Time,6,31.953703703703706
Current Action Time,6,33.55555555555556
Total Average Time,7,33.48412698412698
Current Action Time,7,42.666666666666664
Total Average Time,8,35.99305555555556
Current Action Time,8,53.55555555555556
Total Average Time,9,39.53703703703704
Current Action Time,9,67.88888888888889
Total Average Time,10,43.358333333333334
Current Action Time,10,77.75
Total Average Time,11,47.8510101010101
Current Action Time,11,92.77777777777777
Total Average Time,12,52.832175925925924
Current Action Time,12,107.625
Total Average Time,13,72.01175213675214
Current Action Time,13,302.1666666666667
Total Average Time,14,77.1359126984127
Current Action Time,14,143.75
Total Average Time,15,82.92685185185185
Current Action Time,15,164.0
Total Average Time,16,89.11892361111111
Current Action Time,16,182.0
Total Average Time,17,95.86823062558358
Current Action Time,17,203.85714285714286
Total Average Time,18,103.57396384479719
Current Action Time,18,234.57142857142858
Total Average Time,19,111.32445697577278
Current Action Time,19,250.83333333333334
Total Average Time,20,120.24156746031747
Current Action Time,20,289.6666666666667
Total Average Time,21,129.1189531368103
Current Action Time,21,306.6666666666667
Total Average Time,22,149.21354617604618
Current Action Time,22,571.2
Total Average Time,23,158.5086093857833
Current Action Time,23,363.0
Total Average Time,24,168.53741732804232
Current Action Time,24,399.2
Total Average Time,25,179.0519206349206
Current Action Time,25,431.4
Total Average Time,26,190.21915445665442
Current Action Time,26,469.4
Total Average Time,27,201.73881540270426
Current Action Time,27,501.25
Total Average Time,28,213.9552862811791
Current Action Time,28,543.8
Total Average Time,29,226.39131089217295
Current Action Time,29,574.6
Total Average Time,30,245.54493386243385
Current Action Time,30,801.0
Total Average Time,31,258.43058115719407
Current Action Time,31,645.0
Total Average Time,32,271.49525049603176
Current Action Time,32,676.5
Total Average Time,33,285.20751563251565
Current Action Time,33,724.0
Total Average Time,34,299.4293534080299
Current Action Time,34,768.75
