Series,Iteration,Average Time (ms)
Total Average Time,1,3488.0
Current Action Time,1,3488.0
Total Average Time,2,3252.0
Current Action Time,2,3016.0
Total Average Time,3,3148.0
Current Action Time,3,2940.0
Total Average Time,4,3127.75
Current Action Time,4,3067.0
Total Average Time,5,3103.8
Current Action Time,5,3008.0
Total Average Time,6,3092.5
Current Action Time,6,3036.0
Total Average Time,7,3149.285714285714
Current Action Time,7,3490.0
Total Average Time,8,3127.625
Current Action Time,8,2976.0
Total Average Time,9,3114.3333333333335
Current Action Time,9,3008.0
Total Average Time,10,3106.7
Current Action Time,10,3038.0
Total Average Time,11,3147.090909090909
Current Action Time,11,3551.0
Total Average Time,12,3129.0
Current Action Time,12,2930.0
Total Average Time,13,3119.153846153846
Current Action Time,13,3001.0
Total Average Time,14,3110.714285714286
Current Action Time,14,3001.0
Total Average Time,15,3102.4
Current Action Time,15,2986.0
Total Average Time,16,3132.125
Current Action Time,16,3578.0
Total Average Time,17,3123.8823529411766
Current Action Time,17,2992.0
Total Average Time,18,3121.722222222222
Current Action Time,18,3085.0
Total Average Time,19,3111.6315789473683
Current Action Time,19,2930.0
Total Average Time,20,3106.4
Current Action Time,20,3007.0
Total Average Time,21,3105.5238095238096
Current Action Time,21,3088.0
Total Average Time,22,3128.6363636363635
Current Action Time,22,3614.0
Total Average Time,23,3125.086956521739
Current Action Time,23,3047.0
Total Average Time,24,3127.7916666666665
Current Action Time,24,3190.0
Total Average Time,25,3125.48
Current Action Time,25,3070.0
Total Average Time,26,3121.0
Current Action Time,26,3009.0
Total Average Time,27,3117.8518518518517
Current Action Time,27,3036.0
Total Average Time,28,3113.785714285714
Current Action Time,28,3004.0
Total Average Time,29,3128.862068965517
Current Action Time,29,3551.0
Total Average Time,30,3124.733333333333
Current Action Time,30,3005.0
Total Average Time,31,3123.7741935483873
Current Action Time,31,3095.0
Total Average Time,32,3121.96875
Current Action Time,32,3066.0
Total Average Time,33,3120.6666666666665
Current Action Time,33,3079.0
Total Average Time,34,3158.6470588235293
Current Action Time,34,4412.0
Total Average Time,35,3170.7428571428572
Current Action Time,35,3582.0
Total Average Time,36,3163.972222222222
Current Action Time,36,2927.0
Total Average Time,37,3160.135135135135
Current Action Time,37,3022.0
Total Average Time,38,3157.6052631578946
Current Action Time,38,3064.0
Total Average Time,39,3153.2051282051284
Current Action Time,39,2986.0
Total Average Time,40,3163.675
Current Action Time,40,3572.0
Total Average Time,41,3161.6585365853657
Current Action Time,41,3081.0
Total Average Time,42,3159.4285714285716
Current Action Time,42,3068.0
Total Average Time,43,3156.953488372093
Current Action Time,43,3053.0
Total Average Time,44,3154.931818181818
Current Action Time,44,3068.0
Total Average Time,45,3153.3777777777777
Current Action Time,45,3085.0
Total Average Time,46,3150.1521739130435
Current Action Time,46,3005.0
Total Average Time,47,3147.159574468085
Current Action Time,47,3009.5
Total Average Time,48,3144.5104166666665
Current Action Time,48,3020.0
Total Average Time,49,3152.765306122449
Current Action Time,49,3549.0
Total Average Time,50,3150.39
Current Action Time,50,3034.0
Total Average Time,51,3147.578431372549
Current Action Time,51,3007.0
Total Average Time,52,3145.4326923076924
Current Action Time,52,3036.0
Total Average Time,53,3143.7075471698113
Current Action Time,53,3054.0
Total Average Time,54,3142.3055555555557
Current Action Time,54,3068.0
Total Average Time,55,3140.663636363636
Current Action Time,55,3052.0
Total Average Time,56,3140.1339285714284
Current Action Time,56,3111.0
Total Average Time,57,3137.877192982456
Current Action Time,57,3011.5
Total Average Time,58,3144.810344827586
Current Action Time,58,3540.0
Total Average Time,59,3143.186440677966
Current Action Time,59,3049.0
Total Average Time,60,3140.9
Current Action Time,60,3006.0
Total Average Time,61,3139.967213114754
Current Action Time,61,3084.0
Total Average Time,62,3138.548387096774
Current Action Time,62,3052.0
Total Average Time,63,3137.9206349206347
Current Action Time,63,3099.0
Total Average Time,64,3135.703125
Current Action Time,64,2996.0
Total Average Time,65,3134.876923076923
Current Action Time,65,3082.0
Total Average Time,66,3133.6060606060605
Current Action Time,66,3051.0
Total Average Time,67,3131.60447761194
Current Action Time,67,2999.5
Total Average Time,68,3138.9632352941176
Current Action Time,68,3632.0
Total Average Time,69,3138.0072463768115
Current Action Time,69,3073.0
Total Average Time,70,3135.8214285714284
