Series,Iteration,Average Time (ms)
Total Average Time,1,7095.0
Current Action Time,1,7095.0
Total Average Time,2,5602.0
Current Action Time,2,4109.0
Total Average Time,3,5090.333333333333
Current Action Time,3,4067.0
Total Average Time,4,4843.0
Current Action Time,4,4101.0
Total Average Time,5,4698.4
Current Action Time,5,4120.0
Total Average Time,6,4595.166666666667
Current Action Time,6,4079.0
Total Average Time,7,4522.285714285715
Current Action Time,7,4085.0
Total Average Time,8,4467.5
Current Action Time,8,4084.0
Total Average Time,9,4434.555555555556
Current Action Time,9,4171.0
Total Average Time,10,4402.6
Current Action Time,10,4115.0
Total Average Time,11,4374.136363636364
Current Action Time,11,4089.5
Total Average Time,12,4350.208333333333
Current Action Time,12,4087.0
Total Average Time,13,4331.7307692307695
Current Action Time,13,4110.0
Total Average Time,14,4318.821428571428
Current Action Time,14,4151.0
Total Average Time,15,4304.433333333333
Current Action Time,15,4103.0
Total Average Time,16,4292.15625
Current Action Time,16,4108.0
Total Average Time,17,4316.441176470588
Current Action Time,17,4705.0
Total Average Time,18,4352.027777777777
Current Action Time,18,4957.0
Total Average Time,19,4344.921052631579
Current Action Time,19,4217.0
Total Average Time,20,4354.975
Current Action Time,20,4546.0
Total Average Time,21,4370.5
Current Action Time,21,4681.0
Total Average Time,22,4369.068181818182
Current Action Time,22,4339.0
Total Average Time,23,4358.239130434783
Current Action Time,23,4120.0
Total Average Time,24,4347.229166666667
Current Action Time,24,4094.0
Total Average Time,25,4336.78
Current Action Time,25,4086.0
Total Average Time,26,4327.75
Current Action Time,26,4102.0
Total Average Time,27,4319.018518518518
Current Action Time,27,4092.0
Total Average Time,28,4310.803571428572
Current Action Time,28,4089.0
Total Average Time,29,4304.982758620689
Current Action Time,29,4142.0
Total Average Time,30,4297.216666666666
Current Action Time,30,4072.0
Total Average Time,31,4290.935483870968
Current Action Time,31,4102.5
Total Average Time,32,4284.5
Current Action Time,32,4085.0
Total Average Time,33,4284.969696969697
Current Action Time,33,4300.0
Total Average Time,34,4288.882352941177
Current Action Time,34,4418.0
Total Average Time,35,4283.771428571428
Current Action Time,35,4110.0
Total Average Time,36,4278.916666666667
Current Action Time,36,4109.0
Total Average Time,37,4273.351351351352
Current Action Time,37,4073.0
Total Average Time,38,4269.3421052631575
Current Action Time,38,4121.0
Total Average Time,39,4264.846153846154
Current Action Time,39,4094.0
Total Average Time,40,4260.175
Current Action Time,40,4078.0
Total Average Time,41,4257.268292682927
Current Action Time,41,4141.0
Total Average Time,42,4255.928571428572
Current Action Time,42,4201.0
Total Average Time,43,4252.558139534884
Current Action Time,43,4111.0
Total Average Time,44,4265.568181818182
Current Action Time,44,4825.0
Total Average Time,45,4275.377777777778
Current Action Time,45,4707.0
Total Average Time,46,4277.260869565217
Current Action Time,46,4362.0
Total Average Time,47,4273.574468085107
Current Action Time,47,4104.0
Total Average Time,48,4270.083333333333
Current Action Time,48,4106.0
Total Average Time,49,4266.540816326531
Current Action Time,49,4096.5
Total Average Time,50,4263.41
Current Action Time,50,4110.0
Total Average Time,51,4260.303921568628
Current Action Time,51,4105.0
Total Average Time,52,4257.413461538462
Current Action Time,52,4110.0
Total Average Time,53,4254.990566037736
Current Action Time,53,4129.0
Total Average Time,54,4252.583333333333
Current Action Time,54,4125.0
Total Average Time,55,4250.518181818182
Current Action Time,55,4139.0
Total Average Time,56,4247.794642857143
Current Action Time,56,4098.0
Total Average Time,57,4245.096491228071
Current Action Time,57,4094.0
Total Average Time,58,4242.853448275862
Current Action Time,58,4115.0
Total Average Time,59,4240.550847457627
Current Action Time,59,4107.0
Total Average Time,60,4238.325
Current Action Time,60,4107.0
Total Average Time,61,4236.450819672131
Current Action Time,61,4124.0
Total Average Time,62,4234.274193548387
Current Action Time,62,4101.5
Total Average Time,63,4232.460317460317
Current Action Time,63,4120.0
Total Average Time,64,4230.5
Current Action Time,64,4107.0
Total Average Time,65,4228.384615384615
Current Action Time,65,4093.0
Total Average Time,66,4225.863636363636
Current Action Time,66,4062.0
Total Average Time,67,4224.089552238806
Current Action Time,67,4107.0
Total Average Time,68,4222.161764705882
Current Action Time,68,4093.0
Total Average Time,69,4220.594202898551
Current Action Time,69,4114.0
Total Average Time,70,4218.457142857143
Current Action Time,70,4071.0
Total Average Time,71,4216.802816901409
Current Action Time,71,4101.0
Total Average Time,72,4214.861111111111
Current Action Time,72,4077.0
Total Average Time,73,4213.424657534247
Current Action Time,73,4110.0
Total Average Time,74,4211.743243243243
Current Action Time,74,4089.0
Total Average Time,75,4211.36
Current Action Time,75,4183.0
Total Average Time,76,4209.671052631579
Current Action Time,76,4083.0
Total Average Time,77,4207.766233766234
Current Action Time,77,4063.0
Total Average Time,78,4206.076923076923
Current Action Time,78,4076.0
Total Average Time,79,4204.810126582279
Current Action Time,79,4106.0
Total Average Time,80,4203.3625
Current Action Time,80,4089.0
Total Average Time,81,4202.259259259259
Current Action Time,81,4114.0
Total Average Time,82,4200.817073170731
Current Action Time,82,4084.0
Total Average Time,83,4199.975903614458
Current Action Time,83,4131.0
Total Average Time,84,4198.916666666667
Current Action Time,84,4111.0
Total Average Time,85,4197.7764705882355
Current Action Time,85,4102.0
Total Average Time,86,4196.674418604651
Current Action Time,86,4103.0
Total Average Time,87,4195.586206896552
Current Action Time,87,4102.0
Total Average Time,88,4194.454545454545
Current Action Time,88,4096.0
Total Average Time,89,4193.078651685393
Current Action Time,89,4072.0
Total Average Time,90,4192.0
Current Action Time,90,4096.0
Total Average Time,91,4190.923076923077
Current Action Time,91,4094.0
Total Average Time,92,4189.880434782609
Current Action Time,92,4095.0
Total Average Time,93,4188.569892473119
Current Action Time,93,4068.0
Total Average Time,94,4187.446808510638
Current Action Time,94,4083.0
Total Average Time,95,4186.515789473684
Current Action Time,95,4099.0
Total Average Time,96,4185.666666666667
Current Action Time,96,4105.0
Total Average Time,97,4185.268041237114
Current Action Time,97,4147.0
Total Average Time,98,4184.448979591837
Current Action Time,98,4105.0
Total Average Time,99,4183.585858585859
Current Action Time,99,4099.0
Total Average Time,100,4183.0
Current Action Time,100,4125.0
Total Average Time,101,4182.366336633663
Current Action Time,101,4119.0
Total Average Time,102,4182.4607843137255
Current Action Time,102,4192.0
Total Average Time,103,4182.815533980583
Current Action Time,103,4219.0
Total Average Time,104,4182.096153846154
Current Action Time,104,4108.0
Total Average Time,105,4181.590476190476
Current Action Time,105,4129.0
Total Average Time,106,4180.8490566037735
Current Action Time,106,4103.0
Total Average Time,107,4180.214953271028
Current Action Time,107,4113.0
Total Average Time,108,4179.231481481482
Current Action Time,108,4074.0
Total Average Time,109,4178.467889908256
Current Action Time,109,4096.0
Total Average Time,110,4177.736363636363
Current Action Time,110,4098.0
Total Average Time,111,4177.18018018018
Current Action Time,111,4116.0
Total Average Time,112,4176.508928571428
Current Action Time,112,4102.0
Total Average Time,113,4176.548672566371
Current Action Time,113,4181.0
Total Average Time,114,4175.7807017543855
Current Action Time,114,4089.0
Total Average Time,115,4175.347826086957
Current Action Time,115,4126.0
Total Average Time,116,4174.896551724138
Current Action Time,116,4123.0
Total Average Time,117,4174.316239316239
Current Action Time,117,4107.0
Total Average Time,118,4173.6949152542375
Current Action Time,118,4101.0
Total Average Time,119,4173.226890756303
Current Action Time,119,4118.0
Total Average Time,120,4172.725
Current Action Time,120,4113.0
Total Average Time,121,4172.01652892562
Current Action Time,121,4087.0
Total Average Time,122,4171.450819672131
Current Action Time,122,4103.0
Total Average Time,123,4171.30081300813
Current Action Time,123,4153.0
Total Average Time,124,4170.875
Current Action Time,124,4118.5
Total Average Time,125,4170.356
Current Action Time,125,4106.0
Total Average Time,126,4169.7817460317465
Current Action Time,126,4098.0
Total Average Time,127,4169.311023622047
Current Action Time,127,4110.0
Total Average Time,128,4168.60546875
Current Action Time,128,4079.0
Total Average Time,129,4167.918604651163
Current Action Time,129,4080.0
Total Average Time,130,4167.442307692308
Current Action Time,130,4106.0
Total Average Time,131,4166.904580152672
Current Action Time,131,4097.0
Total Average Time,132,4166.541666666667
Current Action Time,132,4119.0
Total Average Time,133,4166.334586466165
Current Action Time,133,4139.0
Total Average Time,134,4166.0335820895525
Current Action Time,134,4126.0
Total Average Time,135,4165.6407407407405
Current Action Time,135,4113.0
Total Average Time,136,4165.095588235294
Current Action Time,136,4091.5
Total Average Time,137,4164.883211678832
Current Action Time,137,4136.0
Total Average Time,138,4164.54347826087
Current Action Time,138,4118.0
Total Average Time,139,4164.136690647482
Current Action Time,139,4108.0
Total Average Time,140,4163.692857142857
Current Action Time,140,4102.0
Total Average Time,141,4163.184397163121
Current Action Time,141,4092.0
Total Average Time,142,4162.69014084507
Current Action Time,142,4093.0
Total Average Time,143,4162.118881118881
Current Action Time,143,4081.0
Total Average Time,144,4161.854166666667
Current Action Time,144,4124.0
Total Average Time,145,4161.2206896551725
Current Action Time,145,4070.0
Total Average Time,146,4160.739726027397
Current Action Time,146,4091.0
Total Average Time,147,4160.353741496599
Current Action Time,147,4104.0
Total Average Time,148,4159.9628378378375
Current Action Time,148,4102.5
Total Average Time,149,4159.775167785235
Current Action Time,149,4132.0
Total Average Time,150,4159.416666666667
Current Action Time,150,4106.0
