Series,Iteration,Average Time (ms)
Total Average Time,1,4092.0
Current Action Time,1,4092.0
Total Average Time,2,3614.5
Current Action Time,2,3137.0
Total Average Time,3,3504.3333333333335
Current Action Time,3,3284.0
Total Average Time,4,3436.125
Current Action Time,4,3231.5
Total Average Time,5,3399.7
Current Action Time,5,3254.0
Total Average Time,6,3379.25
Current Action Time,6,3277.0
Total Average Time,7,3360.5
Current Action Time,7,3248.0
Total Average Time,8,3447.3125
Current Action Time,8,4055.0
Total Average Time,9,3411.277777777778
Current Action Time,9,3123.0
Total Average Time,10,3397.05
Current Action Time,10,3269.0
Total Average Time,11,3387.5454545454545
Current Action Time,11,3292.5
Total Average Time,12,3377.4166666666665
Current Action Time,12,3266.0
Total Average Time,13,3429.076923076923
Current Action Time,13,4049.0
Total Average Time,14,3413.1428571428573
Current Action Time,14,3206.0
Total Average Time,15,3402.0666666666666
Current Action Time,15,3247.0
Total Average Time,16,3393.34375
Current Action Time,16,3262.5
Total Average Time,17,3392.264705882353
Current Action Time,17,3375.0
Total Average Time,18,3384.6388888888887
Current Action Time,18,3255.0
Total Average Time,19,3420.3947368421054
Current Action Time,19,4064.0
Total Average Time,20,3411.975
Current Action Time,20,3252.0
Total Average Time,21,3406.785714285714
Current Action Time,21,3303.0
Total Average Time,22,3397.7727272727275
Current Action Time,22,3208.5
Total Average Time,23,3397.391304347826
Current Action Time,23,3389.0
Total Average Time,24,3397.4583333333335
Current Action Time,24,3399.0
Total Average Time,25,3426.28
Current Action Time,25,4118.0
Total Average Time,26,3420.076923076923
Current Action Time,26,3265.0
Total Average Time,27,3414.962962962963
Current Action Time,27,3282.0
Total Average Time,28,3409.6428571428573
Current Action Time,28,3266.0
Total Average Time,29,3411.793103448276
Current Action Time,29,3472.0
Total Average Time,30,3406.733333333333
Current Action Time,30,3260.0
Total Average Time,31,3400.7419354838707
Current Action Time,31,3221.0
Total Average Time,32,3398.078125
Current Action Time,32,3315.5
Total Average Time,33,3421.8333333333335
Current Action Time,33,4182.0
Total Average Time,34,3414.75
Current Action Time,34,3181.0
Total Average Time,35,3409.442857142857
Current Action Time,35,3229.0
Total Average Time,36,3405.5
Current Action Time,36,3267.5
Total Average Time,37,3401.189189189189
Current Action Time,37,3246.0
Total Average Time,38,3397.4473684210525
Current Action Time,38,3259.0
Total Average Time,39,3392.5128205128203
Current Action Time,39,3205.0
Total Average Time,40,3387.975
Current Action Time,40,3211.0
Total Average Time,41,3384.3414634146343
Current Action Time,41,3239.0
Total Average Time,42,3380.6190476190477
Current Action Time,42,3228.0
Total Average Time,43,3378.3720930232557
Current Action Time,43,3284.0
Total Average Time,44,3378.090909090909
Current Action Time,44,3366.0
Total Average Time,45,3393.4666666666667
Current Action Time,45,4070.0
Total Average Time,46,3389.6521739130435
Current Action Time,46,3218.0
Total Average Time,47,3387.7021276595747
