Series,Iteration,Average Time (ms)
Total Average Time,1,9496.0
Current Action Time,1,9496.0
Total Average Time,2,9537.5
Current Action Time,2,9579.0
Total Average Time,3,9511.0
Current Action Time,3,9458.0
Total Average Time,4,9438.25
Current Action Time,4,9220.0
Total Average Time,5,9341.2
Current Action Time,5,8953.0
Total Average Time,6,9247.333333333334
Current Action Time,6,8778.0
Total Average Time,7,9157.857142857143
Current Action Time,7,8621.0
Total Average Time,8,9056.0
Current Action Time,8,8343.0
Total Average Time,9,8973.555555555555
Current Action Time,9,8314.0
Total Average Time,10,8878.7
Current Action Time,10,8025.0
Total Average Time,11,8777.363636363636
Current Action Time,11,7764.0
Total Average Time,12,8685.916666666666
Current Action Time,12,7680.0
Total Average Time,13,8588.384615384615
Current Action Time,13,7418.0
Total Average Time,14,8482.214285714286
Current Action Time,14,7102.0
Total Average Time,15,8380.533333333333
Current Action Time,15,6957.0
Total Average Time,16,8282.3125
Current Action Time,16,6809.0
Total Average Time,17,8187.205882352941
Current Action Time,17,6665.5
Total Average Time,18,8091.777777777777
Current Action Time,18,6469.5
Total Average Time,19,7996.105263157895
Current Action Time,19,6274.0
Total Average Time,20,7902.625
Current Action Time,20,6126.5
Total Average Time,21,7806.4047619047615
Current Action Time,21,5882.0
Total Average Time,22,7712.340909090909
Current Action Time,22,5737.0
Total Average Time,23,7619.913043478261
Current Action Time,23,5586.5
Total Average Time,24,7526.645833333333
Current Action Time,24,5381.5
Total Average Time,25,7435.7
Current Action Time,25,5253.0
Total Average Time,26,7346.884615384615
Current Action Time,26,5126.5
Total Average Time,27,7258.5
Current Action Time,27,4960.5
Total Average Time,28,7168.464285714285
Current Action Time,28,4737.5
Total Average Time,29,7077.775862068966
Current Action Time,29,4538.5
Total Average Time,30,6988.1
Current Action Time,30,4387.5
Total Average Time,31,6898.064516129032
Current Action Time,31,4197.0
Total Average Time,32,6810.234375
Current Action Time,32,4087.5
Total Average Time,33,6723.045454545455
Current Action Time,33,3933.0
Total Average Time,34,6636.205882352941
Current Action Time,34,3770.5
Total Average Time,35,6550.885714285714
Current Action Time,35,3650.0
Total Average Time,36,6466.75
Current Action Time,36,3522.0
Total Average Time,37,6382.986486486487
Current Action Time,37,3367.5
Total Average Time,38,6300.25
Current Action Time,38,3239.0
Total Average Time,39,6216.974358974359
Current Action Time,39,3052.5
Total Average Time,40,6135.558333333333
Current Action Time,40,2960.3333333333335
Total Average Time,41,6055.252032520326
Current Action Time,41,2843.0
Total Average Time,42,5977.007936507936
Current Action Time,42,2769.0
Total Average Time,43,5899.217054263566
Current Action Time,43,2632.0
Total Average Time,44,5822.265151515152
Current Action Time,44,2513.3333333333335
Total Average Time,45,5746.533333333334
Current Action Time,45,2414.3333333333335
Total Average Time,46,5671.260869565218
Current Action Time,46,2284.0
Total Average Time,47,5597.808510638298
