Series,Iteration,Average Time (ms)
Total Average Time,1,3475.5
Current Action Time,1,3475.5
Total Average Time,2,3831.25
Current Action Time,2,4187.0
Total Average Time,3,3679.6666666666665
Current Action Time,3,3376.5
Total Average Time,4,3591.0
Current Action Time,4,3325.0
Total Average Time,5,3499.4
Current Action Time,5,3133.0
Total Average Time,6,3442.555555555555
Current Action Time,6,3158.3333333333335
Total Average Time,7,3363.6190476190473
Current Action Time,7,2890.0
Total Average Time,8,3308.8541666666665
Current Action Time,8,2925.5
Total Average Time,9,3272.537037037037
Current Action Time,9,2982.0
Total Average Time,10,3264.4333333333334
Current Action Time,10,3191.5
Total Average Time,11,3270.075757575757
Current Action Time,11,3326.5
Total Average Time,12,3261.694444444444
Current Action Time,12,3169.5
Total Average Time,13,3229.7948717948716
Current Action Time,13,2847.0
Total Average Time,14,3188.8452380952376
Current Action Time,14,2656.5
Total Average Time,15,3177.155555555555
Current Action Time,15,3013.5
Total Average Time,16,3141.520833333333
Current Action Time,16,2607.0
Total Average Time,17,3152.225490196078
Current Action Time,17,3323.5
Total Average Time,18,3138.824074074074
Current Action Time,18,2911.0
Total Average Time,19,3107.394736842105
Current Action Time,19,2541.6666666666665
Total Average Time,20,3083.908333333333
Current Action Time,20,2637.6666666666665
Total Average Time,21,3048.8412698412694
Current Action Time,21,2347.5
Total Average Time,22,3019.575757575757
Current Action Time,22,2405.0
Total Average Time,23,2995.492753623188
Current Action Time,23,2465.6666666666665
Total Average Time,24,2971.8888888888887
Current Action Time,24,2429.0
Total Average Time,25,2937.36
Current Action Time,25,2108.6666666666665
Total Average Time,26,2920.4423076923076
Current Action Time,26,2497.5
Total Average Time,27,2899.6481481481483
Current Action Time,27,2359.0
Total Average Time,28,2880.3630952380954
Current Action Time,28,2359.6666666666665
Total Average Time,29,2861.189655172414
Current Action Time,29,2324.3333333333335
Total Average Time,30,2841.005555555556
Current Action Time,30,2255.6666666666665
Total Average Time,31,2812.650537634409
Current Action Time,31,1962.0
Total Average Time,32,2805.8802083333335
Current Action Time,32,2596.0
Total Average Time,33,2781.255050505051
Current Action Time,33,1993.25
Total Average Time,34,2760.698529411765
Current Action Time,34,2082.3333333333335
Total Average Time,35,2740.3357142857144
Current Action Time,35,2048.0
Total Average Time,36,2711.9375
Current Action Time,36,1718.0
Total Average Time,37,2680.5337837837837
Current Action Time,37,1550.0
Total Average Time,38,2654.217105263158
Current Action Time,38,1680.5
Total Average Time,39,2625.346153846154
Current Action Time,39,1528.25
Total Average Time,40,2600.604166666667
Current Action Time,40,1635.6666666666667
Total Average Time,41,2577.8638211382113
Current Action Time,41,1668.25
Total Average Time,42,2564.3194444444443
Current Action Time,42,2009.0
Total Average Time,43,2551.3197674418607
Current Action Time,43,2005.3333333333333
Total Average Time,44,2531.1988636363635
Current Action Time,44,1666.0
Total Average Time,45,2514.233333333333
Current Action Time,45,1767.75
Total Average Time,46,2500.003623188406
Current Action Time,46,1859.6666666666667
Total Average Time,47,2489.4929078014184
Current Action Time,47,2006.0
Total Average Time,48,2466.842013888889
Current Action Time,48,1402.25
Total Average Time,49,2451.4319727891157
Current Action Time,49,1711.75
Total Average Time,50,2427.9083333333333
Current Action Time,50,1275.25
Total Average Time,51,2407.0160130718955
Current Action Time,51,1362.4
Total Average Time,52,2392.6503205128206
Current Action Time,52,1660.0
Total Average Time,53,2375.4588050314464
Current Action Time,53,1481.5
Total Average Time,54,2358.4132716049385
Current Action Time,54,1455.0
Total Average Time,55,2345.6966666666667
Current Action Time,55,1659.0
Total Average Time,56,2325.545833333333
Current Action Time,56,1217.25
Total Average Time,57,2305.550292397661
Current Action Time,57,1185.8
Total Average Time,58,2283.7270114942526
Current Action Time,58,1039.8
Total Average Time,59,2267.8714689265535
Current Action Time,59,1348.25
Total Average Time,60,2254.818055555555
Current Action Time,60,1484.6666666666667
Total Average Time,61,2247.923497267759
Current Action Time,61,1834.25
Total Average Time,62,2231.07311827957
Current Action Time,62,1203.2
Total Average Time,63,2211.8243386243385
Current Action Time,63,1018.4
Total Average Time,64,2193.170833333333
Current Action Time,64,1018.0
Total Average Time,65,2175.3866666666668
Current Action Time,65,1037.2
Total Average Time,66,2158.7626262626263
Current Action Time,66,1078.2
Total Average Time,67,2142.8676616915423
Current Action Time,67,1093.8
Total Average Time,68,2126.6696078431373
Current Action Time,68,1041.4
Total Average Time,69,2107.8888888888887
Current Action Time,69,830.8
Total Average Time,70,2091.133333333333
Current Action Time,70,935.0
Total Average Time,71,2073.3680751173706
Current Action Time,71,829.8
Total Average Time,72,2056.7425925925922
Current Action Time,72,876.3333333333334
Total Average Time,73,2037.7301369863012
