Series,Iteration,Average Time (ms)
Total Average Time,1,5024.0
Current Action Time,1,5024.0
Total Average Time,2,4459.5
Current Action Time,2,3895.0
Total Average Time,3,4551.666666666667
Current Action Time,3,4736.0
Total Average Time,4,4360.0
Current Action Time,4,3785.0
Total Average Time,5,4448.4
Current Action Time,5,4802.0
Total Average Time,6,4476.833333333333
Current Action Time,6,4619.0
Total Average Time,7,4480.857142857143
Current Action Time,7,4505.0
Total Average Time,8,4468.375
Current Action Time,8,4381.0
Total Average Time,9,4444.666666666667
Current Action Time,9,4255.0
Total Average Time,10,4415.2
Current Action Time,10,4150.0
Total Average Time,11,4382.181818181818
Current Action Time,11,4052.0
Total Average Time,12,4349.333333333333
Current Action Time,12,3988.0
Total Average Time,13,4312.384615384615
Current Action Time,13,3869.0
Total Average Time,14,4278.214285714285
Current Action Time,14,3834.0
Total Average Time,15,4238.866666666667
Current Action Time,15,3688.0
Total Average Time,16,4199.875
Current Action Time,16,3615.0
Total Average Time,17,4157.235294117647
Current Action Time,17,3475.0
Total Average Time,18,4113.166666666667
Current Action Time,18,3364.0
Total Average Time,19,4072.8947368421054
Current Action Time,19,3348.0
Total Average Time,20,4030.4
Current Action Time,20,3223.0
Total Average Time,21,3988.6428571428573
Current Action Time,21,3153.5
Total Average Time,22,3946.3863636363635
Current Action Time,22,3059.0
Total Average Time,23,3905.717391304348
Current Action Time,23,3011.0
Total Average Time,24,3863.875
Current Action Time,24,2901.5
Total Average Time,25,3821.76
Current Action Time,25,2811.0
Total Average Time,26,3778.8653846153848
Current Action Time,26,2706.5
Total Average Time,27,3737.537037037037
Current Action Time,27,2663.0
Total Average Time,28,3695.6785714285716
Current Action Time,28,2565.5
Total Average Time,29,3653.0689655172414
Current Action Time,29,2460.0
Total Average Time,30,3612.5833333333335
Current Action Time,30,2438.5
Total Average Time,31,3571.516129032258
Current Action Time,31,2339.5
Total Average Time,32,3530.875
Current Action Time,32,2271.0
Total Average Time,33,3490.7272727272725
Current Action Time,33,2206.0
Total Average Time,34,3450.4411764705883
Current Action Time,34,2121.0
Total Average Time,35,3409.5
Current Action Time,35,2017.5
Total Average Time,36,3369.777777777778
Current Action Time,36,1979.5
Total Average Time,37,3330.5405405405404
Current Action Time,37,1918.0
Total Average Time,38,3291.25
Current Action Time,38,1837.5
Total Average Time,39,3252.602564102564
Current Action Time,39,1784.0
Total Average Time,40,3216.025
Current Action Time,40,1789.5
Total Average Time,41,3177.6463414634145
Current Action Time,41,1642.5
Total Average Time,42,3139.757936507937
Current Action Time,42,1586.3333333333333
Total Average Time,43,3102.352713178295
Current Action Time,43,1531.3333333333333
Total Average Time,44,3065.7462121212125
Current Action Time,44,1491.6666666666667
Total Average Time,45,3029.5
Current Action Time,45,1434.6666666666667
Total Average Time,46,2992.771739130435
Current Action Time,46,1340.0
Total Average Time,47,2956.6347517730496
Current Action Time,47,1294.3333333333333
Total Average Time,48,2920.90625
Current Action Time,48,1241.6666666666667
Total Average Time,49,2885.683673469388
Current Action Time,49,1195.0
Total Average Time,50,2850.476666666667
Current Action Time,50,1125.3333333333333
Total Average Time,51,2816.140522875817
Current Action Time,51,1099.3333333333333
Total Average Time,52,2781.6185897435903
Current Action Time,52,1021.0
Total Average Time,53,2747.84748427673
Current Action Time,53,991.75
Total Average Time,54,2714.248456790124
Current Action Time,54,933.5
Total Average Time,55,2680.966666666667
Current Action Time,55,883.75
Total Average Time,56,2648.105654761905
Current Action Time,56,840.75
Total Average Time,57,2615.6432748538014
Current Action Time,57,797.75
Total Average Time,58,2583.5459770114944
Current Action Time,58,754.0
Total Average Time,59,2551.66384180791
Current Action Time,59,702.5
Total Average Time,60,2520.3494444444445
Current Action Time,60,672.8
Total Average Time,61,2489.4092896174866
Current Action Time,61,633.0
Total Average Time,62,2458.602688172043
Current Action Time,62,579.4
Total Average Time,63,2428.4661375661376
Current Action Time,63,560.0
Total Average Time,64,2398.7401041666667
Current Action Time,64,526.0
Total Average Time,65,2369.19641025641
Current Action Time,65,478.4
Total Average Time,66,2340.1782828282826
Current Action Time,66,454.0
Total Average Time,67,2311.474129353234
Current Action Time,67,417.0
Total Average Time,68,2283.1926470588237
Current Action Time,68,388.3333333333333
Total Average Time,69,2255.3903381642513
Current Action Time,69,364.8333333333333
Total Average Time,70,2227.749047619048
Current Action Time,70,320.5
Total Average Time,71,2200.736150234742
Current Action Time,71,309.8333333333333
Total Average Time,72,2174.0096560846564
Current Action Time,72,276.42857142857144
Total Average Time,73,2147.6298760600134
Current Action Time,73,248.28571428571428
Total Average Time,74,2121.6561132561137
Current Action Time,74,225.57142857142858
Total Average Time,75,2096.034031746032
Current Action Time,75,200.0
Total Average Time,76,2070.864176065163
Current Action Time,76,183.125
Total Average Time,77,2046.0997062461352
Current Action Time,77,164.0
Total Average Time,78,2021.6673382173385
Current Action Time,78,140.375
Total Average Time,79,1997.6588908981316
Current Action Time,79,125.0
Total Average Time,80,1974.0284325396829
Current Action Time,80,107.22222222222223
Total Average Time,81,1950.7866549088774
Current Action Time,81,91.44444444444444
Total Average Time,82,1927.9735385210997
Current Action Time,82,80.11111111111111
Total Average Time,83,1905.5187033849686
Current Action Time,83,64.22222222222223
Total Average Time,84,1883.466099773243
Current Action Time,84,53.1
Total Average Time,85,1861.781792717087
Current Action Time,85,40.3
Total Average Time,86,1840.535492801772
Current Action Time,86,34.6
Total Average Time,87,1819.6454296661195
Current Action Time,87,23.1
Total Average Time,88,1799.1608225108228
Current Action Time,88,17.0
Total Average Time,89,1779.088535434603
Current Action Time,89,12.727272727272727
Total Average Time,90,1759.3975517075519
Current Action Time,90,6.9
Total Average Time,91,1740.0824936967795
Current Action Time,91,1.7272727272727273
