Series,Iteration,Average Time (ms)
Total Average Time,1,9628.0
Current Action Time,1,9628.0
Total Average Time,2,6614.166666666667
Current Action Time,2,3600.3333333333335
Total Average Time,3,7509.111111111112
Current Action Time,3,9299.0
Total Average Time,4,6531.250000000001
Current Action Time,4,3597.6666666666665
Total Average Time,5,6974.8
Current Action Time,5,8749.0
Total Average Time,6,7246.0
Current Action Time,6,8602.0
Total Average Time,7,6735.428571428572
Current Action Time,7,3672.0
Total Average Time,8,6914.75
Current Action Time,8,8170.0
Total Average Time,9,6482.0
Current Action Time,9,3020.0
Total Average Time,10,6135.633333333333
Current Action Time,10,3018.3333333333335
Total Average Time,11,5830.333333333334
Current Action Time,11,2777.3333333333335
Total Average Time,12,5595.75
Current Action Time,12,3015.3333333333335
Total Average Time,13,5423.666666666667
Current Action Time,13,3358.6666666666665
Total Average Time,14,5268.809523809525
Current Action Time,14,3255.6666666666665
Total Average Time,15,5098.155555555556
Current Action Time,15,2709.0
Total Average Time,16,4980.895833333334
Current Action Time,16,3222.0
Total Average Time,17,4845.93137254902
Current Action Time,17,2686.5
Total Average Time,18,4738.9212962962965
Current Action Time,18,2919.75
Total Average Time,19,4619.381578947369
Current Action Time,19,2467.6666666666665
Total Average Time,20,4506.429166666667
Current Action Time,20,2360.3333333333335
Total Average Time,21,4419.09126984127
Current Action Time,21,2672.3333333333335
Total Average Time,22,4325.700757575758
Current Action Time,22,2364.5
Total Average Time,23,4239.507246376812
Current Action Time,23,2343.25
Total Average Time,24,4152.25
Current Action Time,24,2145.3333333333335
Total Average Time,25,4083.08
Current Action Time,25,2423.0
Total Average Time,26,4018.1346153846152
Current Action Time,26,2394.5
Total Average Time,27,3965.6111111111113
Current Action Time,27,2600.0
Total Average Time,28,3897.5625
Current Action Time,28,2060.25
Total Average Time,29,3838.6293103448274
Current Action Time,29,2188.5
Total Average Time,30,3782.741666666667
Current Action Time,30,2162.0
Total Average Time,31,3730.4112903225805
Current Action Time,31,2160.5
Total Average Time,32,3680.0109375
Current Action Time,32,2117.6
Total Average Time,33,3629.0409090909093
Current Action Time,33,1998.0
Total Average Time,34,3575.6808823529414
Current Action Time,34,1814.8
Total Average Time,35,3541.804285714286
Current Action Time,35,2390.0
Total Average Time,36,3489.8430555555556
Current Action Time,36,1671.2
Total Average Time,37,3450.3743243243243
Current Action Time,37,2029.5
Total Average Time,38,3410.475
Current Action Time,38,1934.2
Total Average Time,39,3369.1166666666663
Current Action Time,39,1797.5
Total Average Time,40,3333.6449999999995
Current Action Time,40,1950.25
Total Average Time,41,3289.6861788617884
Current Action Time,41,1531.3333333333333
Total Average Time,42,3246.634126984127
Current Action Time,42,1481.5
Total Average Time,43,3207.851937984496
Current Action Time,43,1579.0
Total Average Time,44,3174.159848484848
Current Action Time,44,1725.4
Total Average Time,45,3150.3174074074072
Current Action Time,45,2101.25
