Series,Iteration,Average Time (ms)
Total Average Time,1,9569.0
Current Action Time,1,9569.0
Total Average Time,2,6739.166666666667
Current Action Time,2,3909.3333333333335
Total Average Time,3,7592.777777777778
Current Action Time,3,9300.0
Total Average Time,4,6645.500000000001
Current Action Time,4,3803.6666666666665
Total Average Time,5,5952.300000000001
Current Action Time,5,3179.5
Total Average Time,6,6392.75
Current Action Time,6,8595.0
Total Average Time,7,6028.5
Current Action Time,7,3843.0
Total Average Time,8,6304.4375
Current Action Time,8,8236.0
Total Average Time,9,5955.462962962963
Current Action Time,9,3163.6666666666665
Total Average Time,10,6136.116666666667
Current Action Time,10,7762.0
Total Average Time,11,5855.924242424242
Current Action Time,11,3054.0
Total Average Time,12,5989.930555555555
Current Action Time,12,7464.0
Total Average Time,13,5748.397435897436
Current Action Time,13,2850.0
Total Average Time,14,5843.011904761904
Current Action Time,14,7073.0
Total Average Time,15,5668.299999999999
Current Action Time,15,3222.3333333333335
Total Average Time,16,5732.843749999999
Current Action Time,16,6701.0
Total Average Time,17,5585.166666666665
Current Action Time,17,3222.3333333333335
Total Average Time,18,5412.35185185185
Current Action Time,18,2474.5
Total Average Time,19,5454.201754385964
Current Action Time,19,6207.5
Total Average Time,20,5323.6416666666655
Current Action Time,20,2843.0
Total Average Time,21,5349.253968253967
Current Action Time,21,5861.5
Total Average Time,22,5221.992424242423
Current Action Time,22,2549.5
Total Average Time,23,5103.499999999999
Current Action Time,23,2496.6666666666665
Total Average Time,24,4982.104166666666
Current Action Time,24,2190.0
Total Average Time,25,4877.579999999999
Current Action Time,25,2369.0
Total Average Time,26,4769.1442307692305
Current Action Time,26,2058.25
Total Average Time,27,4669.814814814814
Current Action Time,27,2087.25
Total Average Time,28,4583.035714285714
Current Action Time,28,2240.0
Total Average Time,29,4493.3448275862065
Current Action Time,29,1982.0
Total Average Time,30,4419.841666666666
Current Action Time,30,2288.25
Total Average Time,31,4346.967741935484
Current Action Time,31,2160.75
Total Average Time,32,4271.9375
Current Action Time,32,1946.0
Total Average Time,33,4207.204545454545
Current Action Time,33,2135.75
Total Average Time,34,4152.110294117647
Current Action Time,34,2334.0
Total Average Time,35,4093.6642857142856
Current Action Time,35,2106.5
Total Average Time,36,4040.5486111111113
Current Action Time,36,2181.5
Total Average Time,37,3981.49054054054
Current Action Time,37,1855.4
Total Average Time,38,3927.119736842105
Current Action Time,38,1915.4
Total Average Time,39,3876.9179487179485
Current Action Time,39,1969.25
Total Average Time,40,3821.6699999999996
Current Action Time,40,1667.0
Total Average Time,41,3768.882926829268
Current Action Time,41,1657.4
Total Average Time,42,3720.971428571428
Current Action Time,42,1756.6
Total Average Time,43,3673.6790697674414
Current Action Time,43,1687.4
Total Average Time,44,3636.7659090909087
Current Action Time,44,2049.5
Total Average Time,45,3594.7888888888883
Current Action Time,45,1747.8
Total Average Time,46,3554.171739130434
Current Action Time,46,1726.4
Total Average Time,47,3512.2191489361694
Current Action Time,47,1582.4
Total Average Time,48,3477.459374999999
Current Action Time,48,1843.75
Total Average Time,49,3436.599659863945
Current Action Time,49,1475.3333333333333
Total Average Time,50,3402.763666666666
Current Action Time,50,1744.8
Total Average Time,51,3362.941503267973
Current Action Time,51,1371.8333333333333
Total Average Time,52,3325.8144230769226
Current Action Time,52,1432.3333333333333
Total Average Time,53,3288.597798742138
Current Action Time,53,1353.3333333333333
Total Average Time,54,3252.6941358024687
Current Action Time,54,1349.8
Total Average Time,55,3217.8299999999995
Current Action Time,55,1335.1666666666667
Total Average Time,56,3189.4074404761895
Current Action Time,56,1626.1666666666667
Total Average Time,57,3160.0038011695897
Current Action Time,57,1513.4
Total Average Time,58,3129.9721264367804
Current Action Time,58,1418.1666666666667
Total Average Time,59,3100.382203389829
Current Action Time,59,1384.1666666666667
Total Average Time,60,3069.4730555555548
Current Action Time,60,1245.8333333333333
Total Average Time,61,3040.402459016392
Current Action Time,61,1296.1666666666667
Total Average Time,62,3009.3879032258055
Current Action Time,62,1117.5
Total Average Time,63,2984.0325396825388
Current Action Time,63,1412.0
Total Average Time,64,2953.6361979166654
Current Action Time,64,1038.6666666666667
Total Average Time,65,2924.384652014651
Current Action Time,65,1052.2857142857142
Total Average Time,66,2898.3813492063477
