Series,Iteration,Average Time (ms)
Total Average Time,1,4233.0
Current Action Time,1,4233.0
Total Average Time,2,4095.5
Current Action Time,2,3958.0
Total Average Time,3,3994.3333333333335
Current Action Time,3,3792.0
Total Average Time,4,3966.0
Current Action Time,4,3881.0
Total Average Time,5,3890.0
Current Action Time,5,3586.0
Total Average Time,6,3846.1666666666665
Current Action Time,6,3627.0
Total Average Time,7,3802.714285714286
Current Action Time,7,3542.0
Total Average Time,8,3765.75
Current Action Time,8,3507.0
Total Average Time,9,3728.222222222222
Current Action Time,9,3428.0
Total Average Time,10,3687.85
Current Action Time,10,3324.5
Total Average Time,11,3646.0454545454545
Current Action Time,11,3228.0
Total Average Time,12,3606.9583333333335
Current Action Time,12,3177.0
Total Average Time,13,3564.730769230769
Current Action Time,13,3058.0
Total Average Time,14,3528.1071428571427
Current Action Time,14,3052.0
Total Average Time,15,3490.3333333333335
Current Action Time,15,2961.5
Total Average Time,16,3458.125
Current Action Time,16,2975.0
Total Average Time,17,3421.764705882353
Current Action Time,17,2840.0
Total Average Time,18,3383.8888888888887
Current Action Time,18,2740.0
Total Average Time,19,3345.2368421052633
Current Action Time,19,2649.5
Total Average Time,20,3311.75
Current Action Time,20,2675.5
Total Average Time,21,3277.809523809524
Current Action Time,21,2599.0
Total Average Time,22,3240.5
Current Action Time,22,2457.0
Total Average Time,23,3205.5
Current Action Time,23,2435.5
Total Average Time,24,3174.9791666666665
Current Action Time,24,2473.0
Total Average Time,25,3141.4
Current Action Time,25,2335.5
Total Average Time,26,3111.1346153846152
Current Action Time,26,2354.5
Total Average Time,27,3074.537037037037
Current Action Time,27,2123.0
Total Average Time,28,3041.875
Current Action Time,28,2160.0
Total Average Time,29,3010.1206896551726
Current Action Time,29,2121.0
Total Average Time,30,2979.6666666666665
Current Action Time,30,2096.5
Total Average Time,31,2947.3387096774195
Current Action Time,31,1977.5
Total Average Time,32,2916.53125
Current Action Time,32,1961.5
Total Average Time,33,2883.151515151515
Current Action Time,33,1815.0
Total Average Time,34,2852.6323529411766
Current Action Time,34,1845.5
Total Average Time,35,2821.4857142857145
Current Action Time,35,1762.5
Total Average Time,36,2792.537037037037
Current Action Time,36,1779.3333333333333
Total Average Time,37,2762.346846846847
Current Action Time,37,1675.5
Total Average Time,38,2732.877192982456
Current Action Time,38,1642.5
Total Average Time,39,2703.6324786324785
Current Action Time,39,1592.3333333333333
Total Average Time,40,2673.1916666666666
Current Action Time,40,1486.0
Total Average Time,41,2645.325203252032
Current Action Time,41,1530.6666666666667
Total Average Time,42,2615.269841269841
Current Action Time,42,1383.0
Total Average Time,43,2586.7286821705425
Current Action Time,43,1388.0
Total Average Time,44,2558.0757575757575
Current Action Time,44,1326.0
Total Average Time,45,2530.777777777778
Current Action Time,45,1329.6666666666667
Total Average Time,46,2502.4347826086955
Current Action Time,46,1227.0
Total Average Time,47,2475.9574468085107
Current Action Time,47,1258.0
Total Average Time,48,2449.951388888889
Current Action Time,48,1227.6666666666667
Total Average Time,49,2424.891156462585
Current Action Time,49,1222.0
Total Average Time,50,2399.8
Current Action Time,50,1170.3333333333333
Total Average Time,51,2374.7581699346406
Current Action Time,51,1122.6666666666667
Total Average Time,52,2348.8733974358975
Current Action Time,52,1028.75
Total Average Time,53,2323.7248427672957
Current Action Time,53,1016.0
Total Average Time,54,2298.9768518518517
Current Action Time,54,987.3333333333334
Total Average Time,55,2275.7363636363634
Current Action Time,55,1020.75
Total Average Time,56,2251.002976190476
Current Action Time,56,890.6666666666666
Total Average Time,57,2227.5818713450294
Current Action Time,57,916.0
Total Average Time,58,2205.0775862068967
Current Action Time,58,922.3333333333334
Total Average Time,59,2182.8813559322034
Current Action Time,59,895.5
Total Average Time,60,2160.054166666667
Current Action Time,60,813.25
Total Average Time,61,2136.7049180327867
Current Action Time,61,735.75
Total Average Time,62,2113.7056451612902
Current Action Time,62,710.75
Total Average Time,63,2091.563492063492
Current Action Time,63,718.75
Total Average Time,64,2070.0703125
Current Action Time,64,716.0
Total Average Time,65,2049.35
Current Action Time,65,723.25
Total Average Time,66,2027.956818181818
Current Action Time,66,637.4
Total Average Time,67,2006.8828358208955
Current Action Time,67,616.0
Total Average Time,68,1986.410294117647
Current Action Time,68,614.75
