Series,Iteration,Average Time (ms)
Total Average Time,1,3.7
Current Action Time,1,3.7
Total Average Time,2,3.7
Current Action Time,2,3.7
Total Average Time,3,3.8000000000000003
Current Action Time,3,4.0
Total Average Time,4,5.711111111111111
Current Action Time,4,11.444444444444445
Total Average Time,5,5.348888888888888
Current Action Time,5,3.9
Total Average Time,6,5.157407407407407
Current Action Time,6,4.2
Total Average Time,7,5.007936507936508
Current Action Time,7,4.111111111111111
Total Average Time,8,4.881944444444445
Current Action Time,8,4.0
Total Average Time,9,4.761728395061728
Current Action Time,9,3.8
Total Average Time,10,4.663333333333333
Current Action Time,10,3.7777777777777777
Total Average Time,11,4.584848484848485
Current Action Time,11,3.8
Total Average Time,12,4.527777777777778
Current Action Time,12,3.9
Total Average Time,13,4.495726495726496
Current Action Time,13,4.111111111111111
Total Average Time,14,4.467460317460318
Current Action Time,14,4.1
Total Average Time,15,4.436296296296296
Current Action Time,15,4.0
Total Average Time,16,4.427777777777778
Current Action Time,16,4.3
Total Average Time,17,4.409150326797386
Current Action Time,17,4.111111111111111
Total Average Time,18,4.375308641975309
Current Action Time,18,3.8
Total Average Time,19,4.343859649122807
Current Action Time,19,3.7777777777777777
Total Average Time,20,4.341666666666667
Current Action Time,20,4.3
Total Average Time,21,4.325396825396825
Current Action Time,21,4.0
Total Average Time,22,4.3106060606060606
Current Action Time,22,4.0
Total Average Time,23,4.305797101449275
Current Action Time,23,4.2
Total Average Time,24,4.301388888888889
Current Action Time,24,4.2
Total Average Time,25,4.293333333333333
Current Action Time,25,4.1
Total Average Time,26,4.282051282051282
Current Action Time,26,4.0
Total Average Time,27,4.275308641975308
Current Action Time,27,4.1
Total Average Time,28,4.261904761904762
Current Action Time,28,3.9
Total Average Time,29,4.260536398467433
Current Action Time,29,4.222222222222222
Total Average Time,30,4.258518518518518
Current Action Time,30,4.2
Total Average Time,31,4.2501792114695345
Current Action Time,31,4.0
Total Average Time,32,4.238888888888889
Current Action Time,32,3.888888888888889
Total Average Time,33,4.234680134680135
Current Action Time,33,4.1
Total Average Time,34,4.239542483660131
Current Action Time,34,4.4
Total Average Time,35,4.235873015873016
Current Action Time,35,4.111111111111111
Total Average Time,36,4.24320987654321
Current Action Time,36,4.5
Total Average Time,37,4.2420420420420415
Current Action Time,37,4.2
Total Average Time,38,4.232748538011696
Current Action Time,38,3.888888888888889
Total Average Time,39,4.231908831908831
Current Action Time,39,4.2
Total Average Time,40,4.2236111111111105
Current Action Time,40,3.9
Total Average Time,41,4.220596205962059
Current Action Time,41,4.1
Total Average Time,42,4.21005291005291
Current Action Time,42,3.7777777777777777
Total Average Time,43,4.20516795865633
Current Action Time,43,4.0
Total Average Time,44,4.193686868686868
Current Action Time,44,3.7
Total Average Time,45,4.181975308641975
Current Action Time,45,3.6666666666666665
Total Average Time,46,4.1758454106280185
Current Action Time,46,3.9
Total Average Time,47,4.169976359338061
Current Action Time,47,3.9
Total Average Time,48,4.168749999999999
Current Action Time,48,4.111111111111111
Total Average Time,49,4.167346938775509
Current Action Time,49,4.1
Total Average Time,50,4.172
Current Action Time,50,4.4
