Series,Iteration,Average Time (ms)
Total Average Time,1,2682.0
Current Action Time,1,2682.0
Total Average Time,2,2641.0
Current Action Time,2,2600.0
Total Average Time,3,2655.3333333333335
Current Action Time,3,2684.0
Total Average Time,4,2651.375
Current Action Time,4,2639.5
Total Average Time,5,2691.1
Current Action Time,5,2850.0
Total Average Time,6,2680.5833333333335
Current Action Time,6,2628.0
Total Average Time,7,2687.5
Current Action Time,7,2729.0
Total Average Time,8,2691.5
Current Action Time,8,2719.5
Total Average Time,9,2690.8888888888887
Current Action Time,9,2686.0
Total Average Time,10,2705.05
Current Action Time,10,2832.5
Total Average Time,11,2702.681818181818
Current Action Time,11,2679.0
Total Average Time,12,2706.2083333333335
Current Action Time,12,2745.0
Total Average Time,13,2683.8076923076924
Current Action Time,13,2415.0
Total Average Time,14,2686.464285714286
Current Action Time,14,2721.0
Total Average Time,15,2676.5666666666666
Current Action Time,15,2538.0
Total Average Time,16,2672.09375
Current Action Time,16,2605.0
Total Average Time,17,2668.5882352941176
Current Action Time,17,2612.5
Total Average Time,18,2668.0
Current Action Time,18,2658.0
Total Average Time,19,2668.2894736842104
Current Action Time,19,2673.5
Total Average Time,20,2672.625
Current Action Time,20,2755.0
Total Average Time,21,2675.4761904761904
Current Action Time,21,2732.5
Total Average Time,22,2674.909090909091
Current Action Time,22,2663.0
Total Average Time,23,2675.2608695652175
Current Action Time,23,2683.0
Total Average Time,24,2676.2708333333335
Current Action Time,24,2699.5
Total Average Time,25,2672.86
Current Action Time,25,2591.0
Total Average Time,26,2674.076923076923
Current Action Time,26,2704.5
Total Average Time,27,2678.4074074074074
Current Action Time,27,2791.0
Total Average Time,28,2677.375
Current Action Time,28,2649.5
Total Average Time,29,2676.1206896551726
Current Action Time,29,2641.0
Total Average Time,30,2676.15
Current Action Time,30,2677.0
Total Average Time,31,2676.3387096774195
Current Action Time,31,2682.0
Total Average Time,32,2677.890625
Current Action Time,32,2726.0
Total Average Time,33,2675.5
Current Action Time,33,2599.0
Total Average Time,34,2675.955882352941
Current Action Time,34,2691.0
Total Average Time,35,2678.3714285714286
Current Action Time,35,2760.5
Total Average Time,36,2680.0
Current Action Time,36,2737.0
Total Average Time,37,2679.7432432432433
Current Action Time,37,2670.5
Total Average Time,38,2680.8289473684213
Current Action Time,38,2721.0
Total Average Time,39,2680.2179487179487
Current Action Time,39,2657.0
Total Average Time,40,2686.0375
Current Action Time,40,2913.0
Total Average Time,41,2683.939024390244
Current Action Time,41,2600.0
Total Average Time,42,2682.654761904762
Current Action Time,42,2630.0
Total Average Time,43,2681.7558139534885
Current Action Time,43,2644.0
Total Average Time,44,2681.3295454545455
Current Action Time,44,2663.0
Total Average Time,45,2680.088888888889
Current Action Time,45,2625.5
Total Average Time,46,2678.586956521739
Current Action Time,46,2611.0
Total Average Time,47,2680.6170212765956
Current Action Time,47,2774.0
Total Average Time,48,2680.3020833333335
Current Action Time,48,2665.5
Total Average Time,49,2677.765306122449
Current Action Time,49,2556.0
Total Average Time,50,2677.43
Current Action Time,50,2661.0
