Series,Iteration,Average Time (ms)
Total Average Time,1,7.333333333333333
Current Action Time,1,7.333333333333333
Total Average Time,2,7.166666666666666
Current Action Time,2,7.0
Total Average Time,3,8.377777777777778
Current Action Time,3,10.8
Total Average Time,4,9.283333333333333
Current Action Time,4,12.0
Total Average Time,5,10.006666666666666
Current Action Time,5,12.9
Total Average Time,6,11.375925925925927
Current Action Time,6,18.22222222222222
Total Average Time,7,12.322222222222223
Current Action Time,7,18.0
Total Average Time,8,13.569444444444445
Current Action Time,8,22.3
Total Average Time,9,14.864197530864196
Current Action Time,9,25.22222222222222
Total Average Time,10,15.944444444444443
Current Action Time,10,25.666666666666668
Total Average Time,11,17.449494949494948
Current Action Time,11,32.5
Total Average Time,12,18.76388888888889
Current Action Time,12,33.22222222222222
Total Average Time,13,20.18376068376068
Current Action Time,13,37.22222222222222
Total Average Time,14,21.8531746031746
Current Action Time,14,43.55555555555556
Total Average Time,15,23.28518518518518
Current Action Time,15,43.333333333333336
Total Average Time,16,25.14930555555555
Current Action Time,16,53.111111111111114
Total Average Time,17,26.853758169934636
Current Action Time,17,54.125
Total Average Time,18,28.460648148148145
Current Action Time,18,55.77777777777778
Total Average Time,19,30.47149122807017
Current Action Time,19,66.66666666666667
Total Average Time,20,32.235416666666666
Current Action Time,20,65.75
Total Average Time,21,34.234788359788354
Current Action Time,21,74.22222222222223
Total Average Time,22,36.388888888888886
Current Action Time,22,81.625
Total Average Time,23,38.29045893719806
Current Action Time,23,80.125
Total Average Time,24,40.53761574074073
Current Action Time,24,92.22222222222223
Total Average Time,25,42.61111111111111
Current Action Time,25,92.375
Total Average Time,26,44.89529914529914
Current Action Time,26,102.0
Total Average Time,27,47.25102880658436
Current Action Time,27,108.5
Total Average Time,28,49.42956349206349
Current Action Time,28,108.25
Total Average Time,29,51.92337164750957
Current Action Time,29,121.75
Total Average Time,30,54.67354497354496
Current Action Time,30,134.42857142857142
Total Average Time,31,57.091333845366094
Current Action Time,31,129.625
Total Average Time,32,59.900979662698404
Current Action Time,32,147.0
Total Average Time,33,62.494889369889364
Current Action Time,33,145.5
Total Average Time,34,65.30806489262372
Current Action Time,34,158.14285714285714
Total Average Time,35,68.07885487528344
Current Action Time,35,162.28571428571428
Total Average Time,36,70.79095017636683
Current Action Time,36,165.71428571428572
Total Average Time,37,73.81590519090518
Current Action Time,37,182.71428571428572
Total Average Time,38,76.78315580618212
Current Action Time,38,186.57142857142858
Total Average Time,39,79.74475986975986
Current Action Time,39,192.28571428571428
Total Average Time,40,83.05530753968253
Current Action Time,40,212.16666666666666
Total Average Time,41,86.163714672861
Current Action Time,41,210.5
Total Average Time,42,89.48521352985638
Current Action Time,42,225.66666666666666
Total Average Time,43,92.76961055740125
Current Action Time,43,230.71428571428572
Total Average Time,44,96.42257395382394
Current Action Time,44,253.5
Total Average Time,45,99.9761463844797
Current Action Time,45,256.3333333333333
Total Average Time,46,103.30637508626639
Current Action Time,46,253.16666666666666
Total Average Time,47,106.87787065180682
Current Action Time,47,271.1666666666667
Total Average Time,48,110.4880539021164
Current Action Time,48,280.1666666666667
Total Average Time,49,114.03251538710724
Current Action Time,49,284.1666666666667
Total Average Time,50,117.82186507936508
Current Action Time,50,303.5
Total Average Time,51,121.55476968565205
Current Action Time,51,308.2
Total Average Time,52,125.43192155067156
Current Action Time,52,323.1666666666667
Total Average Time,53,129.34075321952682
Current Action Time,53,332.6
Total Average Time,54,133.05975161669608
