Series,Iteration,Average Time (ms)
Total Average Time,1,138.25
Current Action Time,1,138.25
Total Average Time,2,136.95833333333331
Current Action Time,2,135.66666666666666
Total Average Time,3,138.68055555555554
Current Action Time,3,142.125
Total Average Time,4,137.08184523809524
Current Action Time,4,132.28571428571428
Total Average Time,5,136.4904761904762
Current Action Time,5,134.125
Total Average Time,6,136.81349206349208
Current Action Time,6,138.42857142857142
Total Average Time,7,136.94727891156464
Current Action Time,7,137.75
Total Average Time,8,137.4360119047619
Current Action Time,8,140.85714285714286
Total Average Time,9,138.0681216931217
Current Action Time,9,143.125
Total Average Time,10,137.30416666666665
Current Action Time,10,130.42857142857142
Total Average Time,11,137.41287878787878
Current Action Time,11,138.5
Total Average Time,12,137.59275793650792
Current Action Time,12,139.57142857142858
Total Average Time,13,138.20100732600733
Current Action Time,13,145.5
Total Average Time,14,137.61522108843536
Current Action Time,14,130.0
Total Average Time,15,137.57420634920635
Current Action Time,15,137.0
Total Average Time,16,137.77046130952382
Current Action Time,16,140.71428571428572
Total Average Time,17,137.81757703081234
Current Action Time,17,138.57142857142858
Total Average Time,18,137.8991402116402
Current Action Time,18,139.28571428571428
Total Average Time,19,138.01629072681703
Current Action Time,19,140.125
Total Average Time,20,137.90833333333333
Current Action Time,20,135.85714285714286
Total Average Time,21,137.89909297052154
Current Action Time,21,137.71428571428572
Total Average Time,22,138.1366341991342
Current Action Time,22,143.125
Total Average Time,23,137.95678053830227
Current Action Time,23,134.0
Total Average Time,24,137.7859623015873
Current Action Time,24,133.85714285714286
Total Average Time,25,137.7745238095238
Current Action Time,25,137.5
Total Average Time,26,137.87110805860806
Current Action Time,26,140.28571428571428
Total Average Time,27,137.73236331569663
Current Action Time,27,134.125
Total Average Time,28,137.51232993197277
Current Action Time,28,131.57142857142858
Total Average Time,29,137.47003284072247
Current Action Time,29,136.28571428571428
Total Average Time,30,137.71686507936508
Current Action Time,30,144.875
Total Average Time,31,137.58486943164363
Current Action Time,31,133.625
Total Average Time,32,137.62016369047618
Current Action Time,32,138.71428571428572
Total Average Time,33,137.70959595959593
Current Action Time,33,140.57142857142858
Total Average Time,34,137.68872549019605
Current Action Time,34,137.0
Total Average Time,35,137.4904761904762
Current Action Time,35,130.75
Total Average Time,36,137.44510582010582
Current Action Time,36,135.85714285714286
Total Average Time,37,137.44851994851993
Current Action Time,37,137.57142857142858
Total Average Time,38,137.2675438596491
Current Action Time,38,130.57142857142858
Total Average Time,39,137.4072039072039
Current Action Time,39,142.71428571428572
Total Average Time,40,137.3720238095238
Current Action Time,40,136.0
Total Average Time,41,137.31068524970962
Current Action Time,41,134.85714285714286
Total Average Time,42,137.31816893424033
Current Action Time,42,137.625
Total Average Time,43,137.34066998892578
Current Action Time,43,138.28571428571428
Total Average Time,44,137.26758658008657
Current Action Time,44,134.125
Total Average Time,45,137.22671957671957
Current Action Time,45,135.42857142857142
Total Average Time,46,137.21635610766046
Current Action Time,46,136.75
Total Average Time,47,137.19313576494426
Current Action Time,47,136.125
Total Average Time,48,137.19208829365078
Current Action Time,48,137.14285714285714
Total Average Time,49,137.09378036929056
Current Action Time,49,132.375
Total Average Time,50,137.11761904761906
Current Action Time,50,138.28571428571428
