Series,Iteration,Average Time (ms)
Total Average Time,1,4.416666666666667
Current Action Time,1,4.416666666666667
Total Average Time,2,8.526515151515152
Current Action Time,2,12.636363636363637
Total Average Time,3,13.714646464646464
Current Action Time,3,24.09090909090909
Total Average Time,4,20.263257575757574
Current Action Time,4,39.90909090909091
Total Average Time,5,28.137878787878787
Current Action Time,5,59.63636363636363
Total Average Time,6,36.914898989898994
Current Action Time,6,80.8
Total Average Time,7,47.42705627705628
Current Action Time,7,110.5
Total Average Time,8,59.06811868686869
Current Action Time,8,140.55555555555554
Total Average Time,9,70.60221661054995
Current Action Time,9,162.875
Total Average Time,10,86.31342352092352
Current Action Time,10,227.71428571428572
Total Average Time,11,102.62583956447592
Current Action Time,11,265.75
Total Average Time,12,120.76118626743626
Current Action Time,12,320.25
Total Average Time,13,141.9224136974137
Current Action Time,13,395.85714285714283
Total Average Time,14,157.7238739435168
Current Action Time,14,363.14285714285717
Total Average Time,15,177.84228234728235
Current Action Time,15,459.5
Total Average Time,16,192.8521397005772
Current Action Time,16,418.0
Total Average Time,17,209.04711187505305
Current Action Time,17,468.1666666666667
Total Average Time,18,228.23893899310568
Current Action Time,18,554.5
Total Average Time,19,253.42373167767906
Current Action Time,19,706.75
Total Average Time,20,279.3775450937951
Current Action Time,20,772.5
Total Average Time,21,307.5595667559953
Current Action Time,21,871.2
Total Average Time,22,339.57958644890465
Current Action Time,22,1012.0
Total Average Time,23,371.31090877721317
Current Action Time,23,1069.4
Total Average Time,24,406.03406535594036
Current Action Time,24,1204.6666666666667
Total Average Time,25,441.3527027417027
Current Action Time,25,1289.0
Total Average Time,26,477.94682955932956
Current Action Time,26,1392.8
Total Average Time,27,497.82534204478645
Current Action Time,27,1014.6666666666666
Total Average Time,28,519.0369369717583
Current Action Time,28,1091.75
Total Average Time,29,547.3046288003184
Current Action Time,29,1338.8
Total Average Time,30,559.6194745069745
Current Action Time,30,916.75
Total Average Time,31,573.486588232556
Current Action Time,31,989.5
Total Average Time,32,588.8932573502885
Current Action Time,32,1066.5
Total Average Time,33,607.4419465214919
Current Action Time,33,1201.0
Total Average Time,34,629.2304186826245
Current Action Time,34,1348.25
Total Average Time,35,653.7024067202638
Current Action Time,35,1485.75
Total Average Time,36,679.8356732002565
Current Action Time,36,1594.5
Total Average Time,37,708.8738982488982
Current Action Time,37,1754.25
Total Average Time,38,739.7982693476114
Current Action Time,38,1884.0
Total Average Time,39,771.4444675694675
Current Action Time,39,1974.0
Total Average Time,40,805.1708558802309
Current Action Time,40,2120.5
Total Average Time,41,839.9105911026642
Current Action Time,41,2229.5
Total Average Time,42,875.662719885934
Current Action Time,42,2341.5
Total Average Time,43,913.0659124467263
Current Action Time,43,2484.0
Total Average Time,44,951.2575962547552
Current Action Time,44,2593.5
Total Average Time,45,989.207427449094
Current Action Time,45,2659.0
Total Average Time,46,1027.387700765418
Current Action Time,46,2745.5
Total Average Time,47,1067.0390262810474
Current Action Time,47,2891.0
Total Average Time,48,1108.4548799001923
Current Action Time,48,3055.0
Total Average Time,49,1149.5272292899842
Current Action Time,49,3121.0
Total Average Time,50,1191.6866847041847
Current Action Time,50,3257.5
