Series,Iteration,Average Time (ms)
Total Average Time,1,488.6
Current Action Time,1,488.6
Total Average Time,2,489.20000000000005
Current Action Time,2,489.8
Total Average Time,3,495.8
Current Action Time,3,509.0
Total Average Time,4,499.35
Current Action Time,4,510.0
Total Average Time,5,497.08000000000004
Current Action Time,5,488.0
Total Average Time,6,499.1333333333334
Current Action Time,6,509.4
Total Average Time,7,498.34285714285716
Current Action Time,7,493.6
Total Average Time,8,498.77500000000003
Current Action Time,8,501.8
Total Average Time,9,498.9555555555556
Current Action Time,9,500.4
Total Average Time,10,498.56000000000006
Current Action Time,10,495.0
Total Average Time,11,499.89090909090913
Current Action Time,11,513.2
Total Average Time,12,499.26666666666665
Current Action Time,12,492.4
Total Average Time,13,499.8807692307692
Current Action Time,13,507.25
Total Average Time,14,500.875
Current Action Time,14,513.8
Total Average Time,15,501.81666666666666
Current Action Time,15,515.0
Total Average Time,16,502.515625
Current Action Time,16,513.0
Total Average Time,17,501.74411764705883
Current Action Time,17,489.4
Total Average Time,18,507.40277777777777
Current Action Time,18,603.6
Total Average Time,19,506.60526315789474
Current Action Time,19,492.25
Total Average Time,20,505.975
Current Action Time,20,494.0
Total Average Time,21,506.64285714285717
Current Action Time,21,520.0
Total Average Time,22,505.92272727272723
Current Action Time,22,490.8
Total Average Time,23,505.84999999999997
Current Action Time,23,504.25
Total Average Time,24,506.1812499999999
Current Action Time,24,513.8
Total Average Time,25,506.4699999999999
Current Action Time,25,513.4
Total Average Time,26,506.5673076923076
Current Action Time,26,509.0
Total Average Time,27,505.84259259259255
Current Action Time,27,487.0
Total Average Time,28,505.29107142857134
Current Action Time,28,490.4
Total Average Time,29,505.4672413793103
Current Action Time,29,510.4
Total Average Time,30,505.71833333333325
Current Action Time,30,513.0
Total Average Time,31,506.0177419354838
Current Action Time,31,515.0
Total Average Time,32,505.46093749999994
Current Action Time,32,488.2
Total Average Time,33,505.68939393939394
Current Action Time,33,513.0
Total Average Time,34,506.0397058823529
Current Action Time,34,517.6
Total Average Time,35,506.3528571428571
Current Action Time,35,517.0
Total Average Time,36,506.31527777777774
Current Action Time,36,505.0
Total Average Time,37,505.9229729729729
Current Action Time,37,491.8
Total Average Time,38,506.37763157894733
Current Action Time,38,523.2
Total Average Time,39,506.63461538461536
Current Action Time,39,516.4
Total Average Time,40,507.86875
Current Action Time,40,556.0
Total Average Time,41,508.47195121951216
Current Action Time,41,532.6
Total Average Time,42,508.2988095238095
Current Action Time,42,501.2
Total Average Time,43,507.84534883720926
Current Action Time,43,488.8
Total Average Time,44,507.47159090909093
Current Action Time,44,491.4
Total Average Time,45,507.5388888888889
Current Action Time,45,510.5
Total Average Time,46,507.6315217391304
Current Action Time,46,511.8
Total Average Time,47,507.2648936170213
Current Action Time,47,490.4
Total Average Time,48,507.221875
Current Action Time,48,505.2
Total Average Time,49,506.9969387755103
Current Action Time,49,496.2
Total Average Time,50,506.7650000000001
Current Action Time,50,495.4
