Series,Iteration,Average Time (ms)
Total Average Time,1,91.75
Current Action Time,1,91.75
Total Average Time,2,94.65277777777777
Current Action Time,2,97.55555555555556
Total Average Time,3,95.97685185185185
Current Action Time,3,98.625
Total Average Time,4,96.60763888888889
Current Action Time,4,98.5
Total Average Time,5,96.91111111111111
Current Action Time,5,98.125
Total Average Time,6,97.3425925925926
Current Action Time,6,99.5
Total Average Time,7,95.91269841269842
Current Action Time,7,87.33333333333333
Total Average Time,8,96.23611111111111
Current Action Time,8,98.5
Total Average Time,9,96.41820987654322
Current Action Time,9,97.875
Total Average Time,10,96.72638888888889
Current Action Time,10,99.5
Total Average Time,11,96.95328282828282
Current Action Time,11,99.22222222222223
Total Average Time,12,97.0300925925926
Current Action Time,12,97.875
Total Average Time,13,97.22970085470085
Current Action Time,13,99.625
Total Average Time,14,97.31150793650794
Current Action Time,14,98.375
Total Average Time,15,97.36574074074073
Current Action Time,15,98.125
Total Average Time,16,97.48177083333333
Current Action Time,16,99.22222222222223
Total Average Time,17,97.54166666666666
Current Action Time,17,98.5
Total Average Time,18,97.5949074074074
Current Action Time,18,98.5
Total Average Time,19,97.05701754385964
Current Action Time,19,87.375
Total Average Time,20,97.11527777777778
Current Action Time,20,98.22222222222223
Total Average Time,21,97.19312169312168
Current Action Time,21,98.75
Total Average Time,22,97.27525252525253
Current Action Time,22,99.0
Total Average Time,23,97.35567632850243
Current Action Time,23,99.125
Total Average Time,24,97.41377314814815
Current Action Time,24,98.75
Total Average Time,25,97.45944444444446
Current Action Time,25,98.55555555555556
Total Average Time,26,97.49946581196582
Current Action Time,26,98.5
Total Average Time,27,97.57818930041152
Current Action Time,27,99.625
Total Average Time,28,97.61111111111111
Current Action Time,28,98.5
Total Average Time,29,97.66331417624522
Current Action Time,29,99.125
Total Average Time,30,97.69675925925927
Current Action Time,30,98.66666666666667
Total Average Time,31,97.73476702508961
Current Action Time,31,98.875
Total Average Time,32,97.37586805555556
Current Action Time,32,86.25
Total Average Time,33,97.41750841750842
Current Action Time,33,98.75
Total Average Time,34,97.45669934640523
Current Action Time,34,98.75
Total Average Time,35,97.47539682539683
Current Action Time,35,98.11111111111111
Total Average Time,36,97.50385802469137
Current Action Time,36,98.5
Total Average Time,37,97.51726726726727
Current Action Time,37,98.0
Total Average Time,38,97.2108918128655
Current Action Time,38,85.875
Total Average Time,39,97.2710113960114
Current Action Time,39,99.55555555555556
Total Average Time,40,97.32673611111112
Current Action Time,40,99.5
Total Average Time,41,97.35840108401085
Current Action Time,41,98.625
Total Average Time,42,97.37962962962963
Current Action Time,42,98.25
Total Average Time,43,97.42021963824291
Current Action Time,43,99.125
Total Average Time,44,97.54703282828285
Current Action Time,44,103.0
Total Average Time,45,98.65868606701942
Current Action Time,45,147.57142857142858
Total Average Time,46,98.67154071773639
Current Action Time,46,99.25
Total Average Time,47,98.1962597095576
Current Action Time,47,76.33333333333333
Total Average Time,48,97.95519179894181
Current Action Time,48,86.625
Total Average Time,49,97.98671849692259
Current Action Time,49,99.5
Total Average Time,50,97.84920634920636
Current Action Time,50,91.11111111111111
