Series,Iteration,Average Time (ms)
Total Average Time,1,1432.6666666666667
Current Action Time,1,1432.6666666666667
Total Average Time,2,1470.0833333333335
Current Action Time,2,1507.5
Total Average Time,3,1500.8333333333333
Current Action Time,3,1562.3333333333333
Total Average Time,4,1510.5
Current Action Time,4,1539.5
Total Average Time,5,1503.9333333333334
Current Action Time,5,1477.6666666666667
Total Average Time,6,1489.6111111111113
Current Action Time,6,1418.0
Total Average Time,7,1492.1428571428573
Current Action Time,7,1507.3333333333333
Total Average Time,8,1490.3750000000002
Current Action Time,8,1478.0
Total Average Time,9,1495.0000000000002
Current Action Time,9,1532.0
Total Average Time,10,1497.9
Current Action Time,10,1524.0
Total Average Time,11,1488.969696969697
Current Action Time,11,1399.6666666666667
Total Average Time,12,1488.763888888889
Current Action Time,12,1486.5
Total Average Time,13,1486.6282051282053
Current Action Time,13,1461.0
Total Average Time,14,1486.2619047619048
Current Action Time,14,1481.5
Total Average Time,15,1494.9777777777779
Current Action Time,15,1617.0
Total Average Time,16,1490.0104166666667
Current Action Time,16,1415.5
Total Average Time,17,1494.5
Current Action Time,17,1566.3333333333333
Total Average Time,18,1492.4722222222222
Current Action Time,18,1458.0
Total Average Time,19,1491.7631578947369
Current Action Time,19,1479.0
Total Average Time,20,1490.725
Current Action Time,20,1471.0
Total Average Time,21,1487.7857142857142
Current Action Time,21,1429.0
Total Average Time,22,1487.5227272727273
Current Action Time,22,1482.0
Total Average Time,23,1486.0217391304348
Current Action Time,23,1453.0
Total Average Time,24,1488.375
Current Action Time,24,1542.5
Total Average Time,25,1487.88
Current Action Time,25,1476.0
Total Average Time,26,1487.5384615384614
Current Action Time,26,1479.0
Total Average Time,27,1489.2222222222222
Current Action Time,27,1533.0
Total Average Time,28,1487.25
Current Action Time,28,1434.0
Total Average Time,29,1487.5402298850574
Current Action Time,29,1495.6666666666667
Total Average Time,30,1487.2555555555555
Current Action Time,30,1479.0
Total Average Time,31,1487.8172043010752
Current Action Time,31,1504.6666666666667
Total Average Time,32,1485.9010416666665
Current Action Time,32,1426.5
Total Average Time,33,1486.1868686868686
Current Action Time,33,1495.3333333333333
Total Average Time,34,1485.799019607843
Current Action Time,34,1473.0
Total Average Time,35,1484.4809523809522
Current Action Time,35,1439.6666666666667
Total Average Time,36,1486.1064814814813
Current Action Time,36,1543.0
Total Average Time,37,1486.1576576576576
Current Action Time,37,1488.0
Total Average Time,38,1485.0350877192982
Current Action Time,38,1443.5
Total Average Time,39,1486.3333333333333
Current Action Time,39,1535.6666666666667
Total Average Time,40,1487.6874999999998
Current Action Time,40,1540.5
Total Average Time,41,1488.6869918699185
Current Action Time,41,1528.6666666666667
Total Average Time,42,1487.6230158730157
Current Action Time,42,1444.0
Total Average Time,43,1487.329457364341
Current Action Time,43,1475.0
Total Average Time,44,1486.208333333333
Current Action Time,44,1438.0
Total Average Time,45,1487.27037037037
Current Action Time,45,1534.0
Total Average Time,46,1486.0579710144925
Current Action Time,46,1431.5
Total Average Time,47,1485.705673758865
Current Action Time,47,1469.5
Total Average Time,48,1487.1562499999998
Current Action Time,48,1555.3333333333333
Total Average Time,49,1487.4693877551017
Current Action Time,49,1502.5
Total Average Time,50,1487.8066666666664
Current Action Time,50,1504.3333333333333
