Series,Iteration,Average Time (ms)
Total Average Time,1,103.0
Current Action Time,1,103.0
Total Average Time,2,99.61111111111111
Current Action Time,2,96.22222222222223
Total Average Time,3,99.44907407407408
Current Action Time,3,99.125
Total Average Time,4,99.30555555555556
Current Action Time,4,98.875
Total Average Time,5,99.66944444444445
Current Action Time,5,101.125
Total Average Time,6,99.53703703703702
Current Action Time,6,98.875
Total Average Time,7,99.31746031746032
Current Action Time,7,98.0
Total Average Time,8,99.37152777777777
Current Action Time,8,99.75
Total Average Time,9,99.06635802469135
Current Action Time,9,96.625
Total Average Time,10,98.95972222222221
Current Action Time,10,98.0
Total Average Time,11,107.28805916305917
Current Action Time,11,190.57142857142858
Total Average Time,12,115.09738756613757
Current Action Time,12,201.0
Total Average Time,13,121.92322954822954
Current Action Time,13,203.83333333333334
Total Average Time,14,141.48823696145124
Current Action Time,14,395.8333333333333
Total Average Time,15,145.446164021164
Current Action Time,15,200.85714285714286
Total Average Time,16,149.21292162698413
Current Action Time,16,205.71428571428572
Total Average Time,17,152.31804388422034
Current Action Time,17,202.0
Total Average Time,18,154.340057319224
Current Action Time,18,188.71428571428572
Total Average Time,19,156.7732873851295
Current Action Time,19,200.57142857142858
Total Average Time,20,159.01319444444442
Current Action Time,20,201.57142857142858
Total Average Time,21,161.13501511715796
Current Action Time,21,203.57142857142858
Total Average Time,22,162.92757936507934
Current Action Time,22,200.57142857142858
Total Average Time,23,165.4400448585231
Current Action Time,23,220.71428571428572
Total Average Time,24,171.0536541005291
Current Action Time,24,300.1666666666667
Total Average Time,25,176.3315079365079
Current Action Time,25,303.0
Total Average Time,26,181.32516788766787
Current Action Time,26,306.1666666666667
Total Average Time,27,185.80077895355674
Current Action Time,27,302.1666666666667
Total Average Time,28,190.04003684807256
Current Action Time,28,304.5
Total Average Time,29,194.03865626710456
Current Action Time,29,306.0
Total Average Time,30,197.7087962962963
Current Action Time,30,304.14285714285717
Total Average Time,31,202.10528673835125
Current Action Time,31,334.0
Total Average Time,32,209.08637152777777
Current Action Time,32,425.5
Total Average Time,33,214.3746632996633
Current Action Time,33,383.6
Total Average Time,34,222.4577614379085
Current Action Time,34,489.2
Total Average Time,35,230.59325396825398
Current Action Time,35,507.2
Total Average Time,36,237.9656635802469
Current Action Time,36,496.0
Total Average Time,37,243.6098348348348
Current Action Time,37,446.8
Total Average Time,38,248.77799707602335
Current Action Time,38,440.0
Total Average Time,39,253.9580484330484
Current Action Time,39,450.8
Total Average Time,40,258.6940972222222
Current Action Time,40,443.4
Total Average Time,41,263.25277777777774
Current Action Time,41,445.6
Total Average Time,42,269.7991402116402
Current Action Time,42,538.2
Total Average Time,43,276.8642764857881
Current Action Time,43,573.6
Total Average Time,44,283.38440656565655
Current Action Time,44,563.75
Total Average Time,45,289.81586419753086
Current Action Time,45,572.8
Total Average Time,46,295.05464975845405
Current Action Time,46,530.8
Total Average Time,47,301.4790189125295
Current Action Time,47,597.0
Total Average Time,48,307.98153935185184
Current Action Time,48,613.6
Total Average Time,49,314.1604875283446
Current Action Time,49,610.75
Total Average Time,50,319.7732777777777
Current Action Time,50,594.8
Total Average Time,51,325.50321350762516
Current Action Time,51,612.0
Total Average Time,52,331.2204594017093
Current Action Time,52,622.8
Total Average Time,53,336.5842243186582
Current Action Time,53,615.5
Total Average Time,54,341.3585905349794
Current Action Time,54,594.4
Total Average Time,55,346.37025252525245
Current Action Time,55,617.0
Total Average Time,56,351.5029265873015
Current Action Time,56,633.8
Total Average Time,57,356.17831384015585
Current Action Time,57,618.0
Total Average Time,58,360.67868773946356
Current Action Time,58,617.2
Total Average Time,59,364.997693032015
Current Action Time,59,615.5
Total Average Time,60,370.4393981481481
Current Action Time,60,691.5
Total Average Time,61,376.13301457194893
Current Action Time,61,717.75
Total Average Time,62,381.7115143369175
Current Action Time,62,722.0
Total Average Time,63,387.04625220458547
Current Action Time,63,717.8
Total Average Time,64,392.2564670138888
Current Action Time,64,720.5
Total Average Time,65,397.26405982905976
Current Action Time,65,717.75
Total Average Time,66,402.0896043771043
Current Action Time,66,715.75
Total Average Time,67,406.8233416252072
Current Action Time,67,719.25
Total Average Time,68,411.44726307189535
Current Action Time,68,721.25
Total Average Time,69,415.87556360708527
Current Action Time,69,717.0
Total Average Time,70,420.4880555555555
Current Action Time,70,738.75
Total Average Time,71,424.67484350547727
Current Action Time,71,717.75
Total Average Time,72,428.78352623456783
Current Action Time,72,720.5
Total Average Time,73,433.4816971080669
Current Action Time,73,771.75
Total Average Time,74,438.0123498498498
Current Action Time,74,768.75
Total Average Time,75,442.7488518518518
Current Action Time,75,793.25
Total Average Time,76,448.40018274853793
Current Action Time,76,872.25
Total Average Time,77,453.7023448773448
Current Action Time,77,856.6666666666666
Total Average Time,78,459.7766737891737
Current Action Time,78,927.5
Total Average Time,79,465.2773909985935
Current Action Time,79,894.3333333333334
Total Average Time,80,470.57392361111107
Current Action Time,80,889.0
Total Average Time,81,476.1182784636488
Current Action Time,81,919.6666666666666
Total Average Time,82,481.55281165311646
Current Action Time,82,921.75
Total Average Time,83,486.9397255689423
Current Action Time,83,928.6666666666666
Total Average Time,84,492.15175264550254
Current Action Time,84,924.75
Total Average Time,85,497.19702614379077
Current Action Time,85,921.0
Total Average Time,86,502.4563630490955
Current Action Time,86,949.5
Total Average Time,87,508.0411558109833
Current Action Time,87,988.3333333333334
Total Average Time,88,513.1145517676767
Current Action Time,88,954.5
Total Average Time,89,518.4690699126091
Current Action Time,89,989.6666666666666
Total Average Time,90,523.967561728395
Current Action Time,90,1013.3333333333334
Total Average Time,91,529.259126984127
Current Action Time,91,1005.5
Total Average Time,92,534.6802234299516
Current Action Time,92,1028.0
Total Average Time,93,540.3144862604539
Current Action Time,93,1058.6666666666667
Total Average Time,94,545.4423463356974
Current Action Time,94,1022.3333333333334
Total Average Time,95,550.5797953216373
Current Action Time,95,1033.5
Total Average Time,96,555.5112557870369
Current Action Time,96,1024.0
Total Average Time,97,560.3238545246277
Current Action Time,97,1022.3333333333334
Total Average Time,98,565.082454648526
Current Action Time,98,1026.6666666666667
Total Average Time,99,570.2987934904601
Current Action Time,99,1081.5
Total Average Time,100,576.5724722222221
Current Action Time,100,1197.6666666666667
Total Average Time,101,582.3687843784378
Current Action Time,101,1162.0
Total Average Time,102,588.7181100217864
Current Action Time,102,1230.0
Total Average Time,103,594.9312028047464
Current Action Time,103,1228.6666666666667
Total Average Time,104,601.0985309829059
Current Action Time,104,1236.3333333333333
Total Average Time,105,607.1356878306877
Current Action Time,105,1235.0
Total Average Time,106,612.8482442348007
Current Action Time,106,1212.6666666666667
Total Average Time,107,618.6565160955347
Current Action Time,107,1234.3333333333333
Total Average Time,108,624.3788323045267
Current Action Time,108,1236.6666666666667
Total Average Time,109,629.4028797145769
Current Action Time,109,1172.0
Total Average Time,110,634.8628535353535
Current Action Time,110,1230.0
Total Average Time,111,640.2094344344343
Current Action Time,111,1228.3333333333333
Total Average Time,112,646.4307787698411
Current Action Time,112,1337.0
Total Average Time,113,652.4918633235004
Current Action Time,113,1331.3333333333333
Total Average Time,114,658.5518762183234
Current Action Time,114,1343.3333333333333
Total Average Time,115,664.3601207729467
Current Action Time,115,1326.5
Total Average Time,116,670.4432231800764
Current Action Time,116,1370.0
Total Average Time,117,676.3938509021841
Current Action Time,117,1366.6666666666667
Total Average Time,118,681.9526600753294
Current Action Time,118,1332.3333333333333
Total Average Time,119,687.8270074696544
Current Action Time,119,1381.0
Total Average Time,120,693.8756712962962
Current Action Time,120,1413.6666666666667
Total Average Time,121,699.9758723599632
Current Action Time,121,1432.0
Total Average Time,122,705.9924635701274
Current Action Time,122,1434.0
Total Average Time,123,712.7161020776873
Current Action Time,123,1533.0
Total Average Time,124,719.3796818996415
Current Action Time,124,1539.0
Total Average Time,125,726.0966444444443
Current Action Time,125,1559.0
Total Average Time,126,732.5112213403878
Current Action Time,126,1534.3333333333333
Total Average Time,127,738.8733377077864
Current Action Time,127,1540.5
Total Average Time,128,745.0852647569443
Current Action Time,128,1534.0
Total Average Time,129,751.611735572782
Current Action Time,129,1587.0
Total Average Time,130,758.9531837606836
Current Action Time,130,1706.0
Total Average Time,131,765.4217345207801
Current Action Time,131,1606.3333333333333
Total Average Time,132,772.0738425925924
Current Action Time,132,1643.5
Total Average Time,133,783.3176482873849
Current Action Time,133,2267.5
Total Average Time,134,789.9496061359865
Current Action Time,134,1672.0
Total Average Time,135,796.4055349794237
Current Action Time,135,1661.5
Total Average Time,136,803.0349060457514
Current Action Time,136,1698.0
Total Average Time,137,809.6660381184103
Current Action Time,137,1711.5
Total Average Time,138,817.1286030595811
Current Action Time,138,1839.5
Total Average Time,139,824.5305555555553
Current Action Time,139,1846.0
Total Average Time,140,831.4910515873014
Current Action Time,140,1799.0
Total Average Time,141,838.3031717888099
Current Action Time,141,1792.0
Total Average Time,142,845.2763888888887
Current Action Time,142,1828.5
Total Average Time,143,852.2639665889665
Current Action Time,143,1844.5
Total Average Time,144,859.1926890432097
Current Action Time,144,1850.0
Total Average Time,145,866.3223946360151
Current Action Time,145,1893.0
Total Average Time,146,873.1626522070013
Current Action Time,146,1865.0
Total Average Time,147,879.7499811035524
Current Action Time,147,1841.5
Total Average Time,148,886.6030217717718
Current Action Time,148,1894.0
Total Average Time,149,893.6660887397464
Current Action Time,149,1939.0
Total Average Time,150,900.7116481481481
Current Action Time,150,1950.5
Total Average Time,151,907.7290103016924
Current Action Time,151,1960.3333333333333
Total Average Time,152,914.8886878654971
Current Action Time,152,1996.0
Total Average Time,153,922.1181735657226
Current Action Time,153,2021.0
Total Average Time,154,929.8738997113998
Current Action Time,154,2116.5
Total Average Time,155,937.7940681003585
Current Action Time,155,2157.5
Total Average Time,156,945.6992343304844
Current Action Time,156,2171.0
Total Average Time,157,953.0419143665958
Current Action Time,157,2098.5
Total Average Time,158,960.5986111111112
Current Action Time,158,2147.0
Total Average Time,159,968.7426450034941
Current Action Time,159,2255.5
Total Average Time,160,976.1067534722222
Current Action Time,160,2147.0
Total Average Time,161,983.5564009661836
Current Action Time,161,2175.5
Total Average Time,162,990.7566700960219
Current Action Time,162,2150.0
Total Average Time,163,998.0434389911384
Current Action Time,163,2178.5
Total Average Time,164,1005.8480521680217
Current Action Time,164,2278.0
Total Average Time,165,1013.3974579124579
Current Action Time,165,2251.5
Total Average Time,166,1020.9794009370817
Current Action Time,166,2272.0
Total Average Time,167,1029.5124584165003
Current Action Time,167,2446.0
Total Average Time,168,1037.4647652116403
Current Action Time,168,2365.5
Total Average Time,169,1045.6069855358317
Current Action Time,169,2413.5
Total Average Time,170,1053.6063562091504
Current Action Time,170,2405.5
Total Average Time,171,1062.2226933073425
Current Action Time,171,2527.0
Total Average Time,172,1071.3900032299741
Current Action Time,172,2639.0
Total Average Time,173,1079.7056679511882
Current Action Time,173,2510.0
Total Average Time,174,1088.2475893997446
Current Action Time,174,2566.0
Total Average Time,175,1096.8861746031746
Current Action Time,175,2600.0
Total Average Time,176,1104.5572758838384
Current Action Time,176,2447.0
Total Average Time,177,1112.8563873195228
Current Action Time,177,2573.5
Total Average Time,178,1121.5987671660425
Current Action Time,178,2669.0
Total Average Time,179,1130.2155338299192
Current Action Time,179,2664.0
Total Average Time,180,1138.7004475308643
Current Action Time,180,2657.5
Total Average Time,181,1147.0943677102516
Current Action Time,181,2658.0
Total Average Time,182,1155.8685744810746
Current Action Time,182,2744.0
Total Average Time,183,1164.6944292653309
Current Action Time,183,2771.0
Total Average Time,184,1173.0901117149758
Current Action Time,184,2709.5
Total Average Time,185,1181.705840840841
Current Action Time,185,2767.0
Total Average Time,186,1190.2289277180407
Current Action Time,186,2767.0
Total Average Time,187,1198.735724896019
Current Action Time,187,2781.0
Total Average Time,188,1207.1147901891252
Current Action Time,188,2774.0
Total Average Time,189,1215.8813786008232
Current Action Time,189,2864.0
Total Average Time,190,1224.6293713450293
Current Action Time,190,2878.0
Total Average Time,191,1233.7674374636417
Current Action Time,191,2970.0
Total Average Time,192,1243.0290653935185
Current Action Time,192,3012.0
Total Average Time,193,1251.7750287852618
Current Action Time,193,2931.0
Total Average Time,194,1260.740105956472
Current Action Time,194,2991.0
Total Average Time,195,1269.474772079772
Current Action Time,195,2964.0
Total Average Time,196,1278.7044926303854
Current Action Time,196,3078.5
Total Average Time,197,1287.883657642414
Current Action Time,197,3087.0
Total Average Time,198,1297.1115179573512
Current Action Time,198,3115.0
Total Average Time,199,1306.5330681183696
Current Action Time,199,3172.0
Total Average Time,200,1315.3804027777776
Current Action Time,200,3076.0
Total Average Time,201,1324.8959231619679
Current Action Time,201,3228.0
