Series,Iteration,Average Time (ms)
Total Average Time,1,358.0
Current Action Time,1,358.0
Total Average Time,2,386.0
Current Action Time,2,414.0
Total Average Time,3,359.8333333333333
Current Action Time,3,307.5
Total Average Time,4,360.0416666666667
Current Action Time,4,360.6666666666667
Total Average Time,5,367.23333333333335
Current Action Time,5,396.0
Total Average Time,6,368.8888888888889
Current Action Time,6,377.1666666666667
Total Average Time,7,377.0476190476191
Current Action Time,7,426.0
Total Average Time,8,372.5625
Current Action Time,8,341.1666666666667
Total Average Time,9,369.2592592592593
Current Action Time,9,342.8333333333333
Total Average Time,10,367.8
Current Action Time,10,354.6666666666667
Total Average Time,11,372.9818181818182
Current Action Time,11,424.8
Total Average Time,12,372.6333333333334
Current Action Time,12,368.8
Total Average Time,13,372.71282051282054
Current Action Time,13,373.6666666666667
Total Average Time,14,372.53095238095244
Current Action Time,14,370.1666666666667
Total Average Time,15,374.56222222222226
Current Action Time,15,403.0
Total Average Time,16,377.1395833333334
Current Action Time,16,415.8
Total Average Time,17,376.64117647058833
Current Action Time,17,368.6666666666667
Total Average Time,18,379.00555555555565
Current Action Time,18,419.2
Total Average Time,19,378.6456140350878
Current Action Time,19,372.1666666666667
Total Average Time,20,381.1133333333334
Current Action Time,20,428.0
Total Average Time,21,383.42222222222233
Current Action Time,21,429.6
Total Average Time,22,381.7515151515152
Current Action Time,22,346.6666666666667
Total Average Time,23,379.97246376811603
Current Action Time,23,340.8333333333333
Total Average Time,24,379.23194444444454
Current Action Time,24,362.2
Total Average Time,25,381.42266666666677
Current Action Time,25,434.0
Total Average Time,26,381.39102564102575
Current Action Time,26,380.6
Total Average Time,27,383.6358024691359
Current Action Time,27,442.0
Total Average Time,28,384.08928571428584
Current Action Time,28,396.3333333333333
Total Average Time,29,382.88620689655187
Current Action Time,29,349.2
Total Average Time,30,382.79555555555567
Current Action Time,30,380.1666666666667
Total Average Time,31,381.81290322580656
Current Action Time,31,352.3333333333333
Total Average Time,32,380.8750000000001
Current Action Time,32,351.8
Total Average Time,33,381.46969696969705
Current Action Time,33,400.5
Total Average Time,34,383.71470588235303
Current Action Time,34,457.8
Total Average Time,35,385.95142857142866
Current Action Time,35,462.0
Total Average Time,36,384.5685185185186
Current Action Time,36,336.1666666666667
Total Average Time,37,383.8612612612613
Current Action Time,37,358.4
Total Average Time,38,384.38245614035094
Current Action Time,38,403.6666666666667
Total Average Time,39,384.30085470085476
Current Action Time,39,381.2
Total Average Time,40,385.4933333333334
Current Action Time,40,432.0
Total Average Time,41,385.8081300813009
Current Action Time,41,398.4
Total Average Time,42,385.134126984127
Current Action Time,42,357.5
Total Average Time,43,385.27519379844966
Current Action Time,43,391.2
Total Average Time,44,385.50378787878793
Current Action Time,44,395.3333333333333
Total Average Time,45,385.7325925925926
Current Action Time,45,395.8
Total Average Time,46,384.586231884058
Current Action Time,46,333.0
Total Average Time,47,383.04184397163124
Current Action Time,47,312.0
Total Average Time,48,382.8076388888889
Current Action Time,48,371.8
Total Average Time,49,382.243537414966
Current Action Time,49,355.1666666666667
Total Average Time,50,382.50866666666667
Current Action Time,50,395.5
