Series,Iteration,Average Time (ms)
Total Average Time,1,90.2
Current Action Time,1,90.2
Total Average Time,2,87.96363636363637
Current Action Time,2,85.72727272727273
Total Average Time,3,89.60909090909092
Current Action Time,3,92.9
Total Average Time,4,95.9068181818182
Current Action Time,4,114.8
Total Average Time,5,100.769898989899
Current Action Time,5,120.22222222222223
Total Average Time,6,110.27491582491582
Current Action Time,6,157.8
Total Average Time,7,118.68207070707071
Current Action Time,7,169.125
Total Average Time,8,126.08292297979798
Current Action Time,8,177.88888888888889
Total Average Time,9,140.85148709315376
Current Action Time,9,259.0
Total Average Time,10,152.7038383838384
Current Action Time,10,259.375
Total Average Time,11,164.49212580348944
Current Action Time,11,282.375
Total Average Time,12,177.9987343674844
Current Action Time,12,326.57142857142856
Total Average Time,13,194.38344710844711
Current Action Time,13,391.0
Total Average Time,14,207.56013966192538
Current Action Time,14,378.85714285714283
Total Average Time,15,222.5989874939875
Current Action Time,15,433.14285714285717
Total Average Time,16,231.1740507756133
Current Action Time,16,359.8
Total Average Time,17,256.38930269077326
Current Action Time,17,659.8333333333334
Total Average Time,18,270.5343414301748
Current Action Time,18,511.0
Total Average Time,19,286.97113047770944
Current Action Time,19,582.8333333333334
Total Average Time,20,301.4059072871573
Current Action Time,20,575.6666666666666
Total Average Time,21,316.3199117020546
Current Action Time,21,614.6
Total Average Time,22,330.6417338974157
Current Action Time,22,631.4
Total Average Time,23,344.6920932931803
Current Action Time,23,653.8
Total Average Time,24,359.35492273929776
Current Action Time,24,696.6
Total Average Time,25,375.2527258297258
Current Action Time,25,756.8
Total Average Time,26,394.2737748362748
Current Action Time,26,869.8
Total Average Time,27,406.9673387312276
Current Action Time,27,737.0
Total Average Time,28,427.3185052051123
Current Action Time,28,976.8
Total Average Time,29,444.0402808876946
Current Action Time,29,912.25
Total Average Time,30,459.46393819143816
Current Action Time,30,906.75
Total Average Time,31,475.1909079271982
Current Action Time,31,947.0
Total Average Time,32,491.88025455447325
Current Action Time,32,1009.25
Total Average Time,33,509.03539835585286
Current Action Time,33,1058.0
Total Average Time,34,527.6225925218572
Current Action Time,34,1141.0
Total Average Time,35,536.3381374974232
Current Action Time,35,832.6666666666666
Total Average Time,36,555.071800344717
Current Action Time,36,1210.75
Total Average Time,37,574.8604003354003
Current Action Time,37,1287.25
Total Average Time,38,584.6798634844687
Current Action Time,38,948.0
Total Average Time,39,605.9701233951234
Current Action Time,39,1415.0
Total Average Time,40,616.887536976912
Current Action Time,40,1042.6666666666667
Total Average Time,41,640.6036946116214
Current Action Time,41,1589.25
Total Average Time,42,651.8591622002336
Current Action Time,42,1113.3333333333333
Total Average Time,43,663.8779413738716
Current Action Time,43,1168.6666666666667
Total Average Time,44,675.0928366456775
Current Action Time,44,1157.3333333333333
Total Average Time,45,701.0241069424403
Current Action Time,45,1842.0
Total Average Time,46,715.0235828784741
Current Action Time,46,1345.0
Total Average Time,47,729.9025137392159
Current Action Time,47,1414.3333333333333
Total Average Time,48,743.6406558140934
Current Action Time,48,1389.3333333333333
Total Average Time,49,758.5867648791119
Current Action Time,49,1476.0
Total Average Time,50,773.8550295815297
Current Action Time,50,1522.0
