Series,Iteration,Average Time (ms)
Total Average Time,1,97.625
Current Action Time,1,97.625
Total Average Time,2,95.59027777777777
Current Action Time,2,93.55555555555556
Total Average Time,3,96.93518518518518
Current Action Time,3,99.625
Total Average Time,4,96.63888888888889
Current Action Time,4,95.75
Total Average Time,5,96.96111111111111
Current Action Time,5,98.25
Total Average Time,6,96.70833333333333
Current Action Time,6,95.44444444444444
Total Average Time,7,97.125
Current Action Time,7,99.625
Total Average Time,8,97.4375
Current Action Time,8,99.625
Total Average Time,9,97.68055555555556
Current Action Time,9,99.625
Total Average Time,10,97.64583333333334
Current Action Time,10,97.33333333333333
Total Average Time,11,97.81439393939395
Current Action Time,11,99.5
Total Average Time,12,99.94444444444446
Current Action Time,12,123.375
Total Average Time,13,106.87179487179489
Current Action Time,13,190.0
Total Average Time,14,113.76870748299321
Current Action Time,14,203.42857142857142
Total Average Time,15,119.72698412698414
Current Action Time,15,203.14285714285714
Total Average Time,16,124.53869047619048
Current Action Time,16,196.71428571428572
Total Average Time,17,129.17086834733894
Current Action Time,17,203.28571428571428
Total Average Time,18,133.12962962962965
Current Action Time,18,200.42857142857142
Total Average Time,19,140.66666666666669
Current Action Time,19,276.3333333333333
Total Average Time,20,148.36904761904765
Current Action Time,20,294.7142857142857
Total Average Time,21,155.07369614512473
Current Action Time,21,289.1666666666667
Total Average Time,22,161.75974025974025
Current Action Time,22,302.1666666666667
Total Average Time,23,168.22670807453417
Current Action Time,23,310.5
Total Average Time,24,173.72420634920636
Current Action Time,24,300.1666666666667
Total Average Time,25,179.7485714285714
Current Action Time,25,324.3333333333333
Total Average Time,26,184.52747252747253
Current Action Time,26,304.0
Total Average Time,27,191.35978835978835
Current Action Time,27,369.0
Total Average Time,28,196.44217687074828
Current Action Time,28,333.6666666666667
Total Average Time,29,206.144170771757
Current Action Time,29,477.8
Total Average Time,30,215.49936507936508
Current Action Time,30,486.8
Total Average Time,31,225.10906298003073
Current Action Time,31,513.4
Total Average Time,32,233.30565476190475
Current Action Time,32,487.4
Total Average Time,33,240.16911976911976
Current Action Time,33,459.8
Total Average Time,34,247.0514005602241
Current Action Time,34,474.1666666666667
Total Average Time,35,254.467074829932
Current Action Time,35,506.6
Total Average Time,36,262.28048941798943
Current Action Time,36,535.75
Total Average Time,37,270.23507078507083
Current Action Time,37,556.6
Total Average Time,38,277.66572681704264
Current Action Time,38,552.6
Total Average Time,39,284.1717338217338
Current Action Time,39,531.4
Total Average Time,40,292.5986904761905
Current Action Time,40,621.25
Total Average Time,41,300.02799070847857
Current Action Time,41,597.2
Total Average Time,42,307.6761337868481
Current Action Time,42,621.25
Total Average Time,43,314.58133997785166
Current Action Time,43,604.6
Total Average Time,44,321.4374458874459
Current Action Time,44,616.25
Total Average Time,45,328.25883597883603
Current Action Time,45,628.4
Total Average Time,46,334.6282091097309
Current Action Time,46,621.25
Total Average Time,47,342.2701621073962
Current Action Time,47,693.8
Total Average Time,48,350.05099206349206
Current Action Time,48,715.75
Total Average Time,49,357.7438289601555
Current Action Time,49,727.0
Total Average Time,50,364.97395238095237
Current Action Time,50,719.25
Total Average Time,51,371.9891690009337
Current Action Time,51,722.75
Total Average Time,52,378.52303113553114
Current Action Time,52,711.75
Total Average Time,53,384.5839173405211
Current Action Time,53,699.75
Total Average Time,54,390.6518077601411
Current Action Time,54,712.25
Total Average Time,55,396.5635930735931
Current Action Time,55,715.8
Total Average Time,56,402.66067176870746
Current Action Time,56,738.0
Total Average Time,57,408.28504594820384
Current Action Time,57,723.25
Total Average Time,58,413.6422003284072
Current Action Time,58,719.0
Total Average Time,59,420.53809523809525
Current Action Time,59,820.5
Total Average Time,60,427.2624603174603
Current Action Time,60,824.0
Total Average Time,61,434.54094457455113
Current Action Time,61,871.25
Total Average Time,62,442.4152841781874
Current Action Time,62,922.75
Total Average Time,63,449.53567649281933
Current Action Time,63,891.0
Total Average Time,64,456.49996279761905
Current Action Time,64,895.25
Total Average Time,65,463.83586080586076
Current Action Time,65,933.3333333333334
Total Average Time,66,470.71713564213564
Current Action Time,66,918.0
Total Average Time,67,478.07956645344706
Current Action Time,67,964.0
Total Average Time,68,485.0710434173669
Current Action Time,68,953.5
Total Average Time,69,492.5386128364389
Current Action Time,69,1000.3333333333334
Total Average Time,70,500.01663265306127
Current Action Time,70,1016.0
Total Average Time,71,507.3966800804829
Current Action Time,71,1024.0
Total Average Time,72,514.5393187830688
Current Action Time,72,1021.6666666666666
Total Average Time,73,521.6278212654925
Current Action Time,73,1032.0
Total Average Time,74,528.3592020592021
Current Action Time,74,1019.75
Total Average Time,75,535.447746031746
Current Action Time,75,1060.0
Total Average Time,76,541.8322055137844
Current Action Time,76,1020.6666666666666
Total Average Time,77,548.1157699443413
Current Action Time,77,1025.6666666666667
Total Average Time,78,554.5149267399266
Current Action Time,78,1047.25
Total Average Time,79,562.13710066305
Current Action Time,79,1156.6666666666667
Total Average Time,80,569.2520535714285
Current Action Time,80,1131.3333333333333
Total Average Time,81,577.0843327454437
Current Action Time,81,1203.6666666666667
Total Average Time,82,585.046718931475
Current Action Time,82,1230.0
Total Average Time,83,593.5080034423407
Current Action Time,83,1287.3333333333333
Total Average Time,84,600.7797335600907
Current Action Time,84,1204.3333333333333
Total Average Time,85,608.9882072829131
Current Action Time,85,1298.5
Total Average Time,86,616.1472591362126
Current Action Time,86,1224.6666666666667
Total Average Time,87,624.402271483306
Current Action Time,87,1334.3333333333333
Total Average Time,88,632.1136093073593
Current Action Time,88,1303.0
Total Average Time,89,640.0392990904227
Current Action Time,89,1337.5
Total Average Time,90,647.8721957671958
Current Action Time,90,1345.0
Total Average Time,91,655.7014390371534
Current Action Time,91,1360.3333333333333
Total Average Time,92,663.4691770186336
Current Action Time,92,1370.3333333333333
Total Average Time,93,670.792089093702
Current Action Time,93,1344.5
Total Average Time,94,678.570896656535
Current Action Time,94,1402.0
Total Average Time,95,686.9859398496241
Current Action Time,95,1478.0
Total Average Time,96,695.7360863095238
Current Action Time,96,1527.0
Total Average Time,97,704.0377761413844
Current Action Time,97,1501.0
Total Average Time,98,712.5952137998057
Current Action Time,98,1542.6666666666667
Total Average Time,99,721.432635882636
Current Action Time,99,1587.5
Total Average Time,100,730.2716428571429
Current Action Time,100,1605.3333333333333
Total Average Time,101,738.9818246110325
Current Action Time,101,1610.0
Total Average Time,102,747.678081232493
Current Action Time,102,1626.0
Total Average Time,103,756.3025658807212
Current Action Time,103,1636.0
Total Average Time,104,764.8140796703296
Current Action Time,104,1641.5
Total Average Time,105,773.6110884353742
Current Action Time,105,1688.5
Total Average Time,106,782.0958894878706
Current Action Time,106,1673.0
Total Average Time,107,790.4968624833111
Current Action Time,107,1681.0
Total Average Time,108,799.1820767195767
Current Action Time,108,1728.5
Total Average Time,109,808.0565530799475
Current Action Time,109,1766.5
Total Average Time,110,817.4802813852814
Current Action Time,110,1844.6666666666667
Total Average Time,111,826.8092878592879
Current Action Time,111,1853.0
Total Average Time,112,835.9002763605442
Current Action Time,112,1845.0
Total Average Time,113,845.0383270122209
Current Action Time,113,1868.5
Total Average Time,114,853.735359231412
Current Action Time,114,1836.5
Total Average Time,115,862.8420082815735
Current Action Time,115,1901.0
Total Average Time,116,872.1881978653531
Current Action Time,116,1947.0
Total Average Time,117,881.5071021571022
Current Action Time,117,1962.5
Total Average Time,118,890.6638216303471
Current Action Time,118,1962.0
Total Average Time,119,899.9271508603442
Current Action Time,119,1993.0
Total Average Time,120,909.502757936508
Current Action Time,120,2049.0
Total Average Time,121,918.9820739866195
Current Action Time,121,2056.5
Total Average Time,122,929.0723848555816
Current Action Time,122,2150.0
Total Average Time,123,938.1774874177314
Current Action Time,123,2049.0
Total Average Time,124,948.3252496159755
Current Action Time,124,2196.5
Total Average Time,125,958.0666476190477
Current Action Time,125,2166.0
Total Average Time,126,967.5780234315949
Current Action Time,126,2156.5
Total Average Time,127,977.5616610423698
Current Action Time,127,2235.5
Total Average Time,128,987.4010230654762
Current Action Time,128,2237.0
Total Average Time,129,997.4405500184571
Current Action Time,129,2282.5
Total Average Time,130,1007.5102380952382
Current Action Time,130,2306.5
Total Average Time,131,1017.7849691021447
Current Action Time,131,2353.5
Total Average Time,132,1027.8472041847042
Current Action Time,132,2346.0
Total Average Time,133,1037.9874507697816
Current Action Time,133,2376.5
Total Average Time,134,1048.2076936744847
Current Action Time,134,2407.5
Total Average Time,135,1058.9765255731922
Current Action Time,135,2502.0
Total Average Time,136,1069.3590511204482
Current Action Time,136,2471.0
Total Average Time,137,1079.7067952728537
Current Action Time,137,2487.0
Total Average Time,138,1090.129209799862
Current Action Time,138,2518.0
Total Average Time,139,1102.0779205207264
Current Action Time,139,2751.0
Total Average Time,140,1113.4130782312925
Current Action Time,140,2689.0
Total Average Time,141,1123.949155690645
Current Action Time,141,2599.0
Total Average Time,142,1135.519936284373
Current Action Time,142,2767.0
Total Average Time,143,1146.2715451215452
Current Action Time,143,2673.0
Total Average Time,144,1157.467576058201
Current Action Time,144,2758.5
Total Average Time,145,1168.7884893267653
Current Action Time,145,2799.0
Total Average Time,146,1180.1084311806915
Current Action Time,146,2821.5
Total Average Time,147,1190.7879656624555
Current Action Time,147,2750.0
Total Average Time,148,1202.0731821106822
Current Action Time,148,2861.0
Total Average Time,149,1213.529066794503
Current Action Time,149,2909.0
Total Average Time,150,1225.2922063492065
Current Action Time,150,2978.0
Total Average Time,151,1237.5684169031852
Current Action Time,151,3079.0
Total Average Time,152,1249.6337562656643
Current Action Time,152,3071.5
Total Average Time,153,1261.1917055711174
Current Action Time,153,3018.0
Total Average Time,154,1272.907993197279
Current Action Time,154,3065.5
Total Average Time,155,1285.1601996927805
Current Action Time,155,3172.0
Total Average Time,156,1297.1719932844933
Current Action Time,156,3159.0
Total Average Time,157,1309.3205793145285
Current Action Time,157,3204.5
Total Average Time,158,1321.1160186859554
Current Action Time,158,3173.0
Total Average Time,159,1332.7630877508236
Current Action Time,159,3173.0
