Series,Iteration,Average Time (ms)
Total Average Time,1,4.1
Current Action Time,1,4.1
Total Average Time,2,42.6125
Current Action Time,2,81.125
Total Average Time,3,29.708333333333332
Current Action Time,3,3.9
Total Average Time,4,23.33125
Current Action Time,4,4.2
Total Average Time,5,19.405
Current Action Time,5,3.7
Total Average Time,6,16.837500000000002
Current Action Time,6,4.0
Total Average Time,7,28.638492063492063
Current Action Time,7,99.44444444444444
Total Average Time,8,25.558680555555554
Current Action Time,8,4.0
Total Average Time,9,23.175617283950615
Current Action Time,9,4.111111111111111
Total Average Time,10,21.218055555555555
Current Action Time,10,3.6
Total Average Time,11,19.652777777777775
Current Action Time,11,4.0
Total Average Time,12,24.150462962962962
Current Action Time,12,73.625
Total Average Time,13,22.615811965811965
Current Action Time,13,4.2
Total Average Time,14,21.27896825396825
Current Action Time,14,3.9
Total Average Time,15,20.14185185185185
Current Action Time,15,4.222222222222222
Total Average Time,16,24.97673611111111
Current Action Time,16,97.5
Total Average Time,17,23.73692810457516
Current Action Time,17,3.9
Total Average Time,18,22.629320987654317
Current Action Time,18,3.8
Total Average Time,19,21.64298245614035
Current Action Time,19,3.888888888888889
Total Average Time,20,20.76083333333333
Current Action Time,20,4.0
Total Average Time,21,19.953174603174602
Current Action Time,21,3.8
Total Average Time,22,19.21439393939394
Current Action Time,22,3.7
Total Average Time,23,24.531159420289857
Current Action Time,23,141.5
Total Average Time,24,23.675694444444446
Current Action Time,24,4.0
Total Average Time,25,22.89311111111111
Current Action Time,25,4.111111111111111
Total Average Time,26,22.16217948717949
Current Action Time,26,3.888888888888889
Total Average Time,27,21.48950617283951
Current Action Time,27,4.0
Total Average Time,28,20.857738095238094
Current Action Time,28,3.8
Total Average Time,29,20.272988505747126
Current Action Time,29,3.9
Total Average Time,30,19.730555555555554
Current Action Time,30,4.0
Total Average Time,31,19.206989247311828
Current Action Time,31,3.5
Total Average Time,32,18.734895833333333
Current Action Time,32,4.1
Total Average Time,33,18.278282828282826
Current Action Time,33,3.6666666666666665
Total Average Time,34,17.86127450980392
Current Action Time,34,4.1
Total Average Time,35,20.17595238095238
Current Action Time,35,98.875
Total Average Time,36,19.72662037037037
Current Action Time,36,4.0
Total Average Time,37,19.301576576576576
Current Action Time,37,4.0
Total Average Time,38,18.893055555555556
Current Action Time,38,3.7777777777777777
Total Average Time,39,18.511182336182337
Current Action Time,39,4.0
Total Average Time,40,18.14840277777778
Current Action Time,40,4.0
Total Average Time,41,17.80060975609756
Current Action Time,41,3.888888888888889
Total Average Time,42,17.474404761904765
Current Action Time,42,4.1
Total Average Time,43,17.163630490956074
Current Action Time,43,4.111111111111111
Total Average Time,44,16.85763888888889
Current Action Time,44,3.7
Total Average Time,45,18.65524691358025
Current Action Time,45,97.75
Total Average Time,46,18.32795893719807
Current Action Time,46,3.6
Total Average Time,47,18.018853427895984
Current Action Time,47,3.8
Total Average Time,48,17.72447916666667
Current Action Time,48,3.888888888888889
Total Average Time,49,17.444387755102042
Current Action Time,49,4.0
Total Average Time,50,17.1715
Current Action Time,50,3.8
