Series,Iteration,Average Time (ms)
Total Average Time,1,2641.0
Current Action Time,1,2641.0
Total Average Time,2,2078.3333333333335
Current Action Time,2,1515.6666666666667
Total Average Time,3,1877.1111111111113
Current Action Time,3,1474.6666666666667
Total Average Time,4,1793.7083333333335
Current Action Time,4,1543.5
Total Average Time,5,1734.3666666666668
Current Action Time,5,1497.0
Total Average Time,6,1700.388888888889
Current Action Time,6,1530.5
Total Average Time,7,1666.857142857143
Current Action Time,7,1465.6666666666667
Total Average Time,8,1642.25
Current Action Time,8,1470.0
Total Average Time,9,1757.9444444444443
Current Action Time,9,2683.5
Total Average Time,10,1731.8833333333332
Current Action Time,10,1497.3333333333333
Total Average Time,11,1711.6818181818182
Current Action Time,11,1509.6666666666667
Total Average Time,12,1689.6666666666667
Current Action Time,12,1447.5
Total Average Time,13,1672.3076923076924
Current Action Time,13,1464.0
Total Average Time,14,1657.7857142857142
Current Action Time,14,1469.0
Total Average Time,15,1647.2666666666667
Current Action Time,15,1500.0
Total Average Time,16,1720.3125
Current Action Time,16,2816.0
Total Average Time,17,1701.764705882353
Current Action Time,17,1405.0
Total Average Time,18,1689.1666666666667
Current Action Time,18,1475.0
Total Average Time,19,1678.342105263158
Current Action Time,19,1483.5
Total Average Time,20,1667.125
Current Action Time,20,1454.0
Total Average Time,21,1654.7539682539684
Current Action Time,21,1407.3333333333333
Total Average Time,22,1644.8257575757577
Current Action Time,22,1436.3333333333333
Total Average Time,23,1637.7463768115945
Current Action Time,23,1482.0
Total Average Time,24,1631.9236111111113
Current Action Time,24,1498.0
Total Average Time,25,1625.226666666667
Current Action Time,25,1464.5
Total Average Time,26,1664.0641025641028
Current Action Time,26,2635.0
Total Average Time,27,1653.061728395062
Current Action Time,27,1367.0
Total Average Time,28,1646.6190476190477
Current Action Time,28,1472.6666666666667
Total Average Time,29,1639.896551724138
Current Action Time,29,1451.6666666666667
Total Average Time,30,1633.55
Current Action Time,30,1449.5
Total Average Time,31,1630.9032258064517
Current Action Time,31,1551.5
Total Average Time,32,1626.34375
Current Action Time,32,1485.0
Total Average Time,33,1619.3232323232323
Current Action Time,33,1394.6666666666667
Total Average Time,34,1614.703431372549
Current Action Time,34,1462.25
Total Average Time,35,1608.5595238095236
Current Action Time,35,1399.6666666666667
Total Average Time,36,1639.835648148148
Current Action Time,36,2734.5
Total Average Time,37,1634.948198198198
Current Action Time,37,1459.0
Total Average Time,38,1630.063596491228
Current Action Time,38,1449.3333333333333
Total Average Time,39,1625.0192307692307
Current Action Time,39,1433.3333333333333
Total Average Time,40,1621.89375
Current Action Time,40,1500.0
Total Average Time,41,1617.5060975609756
Current Action Time,41,1442.0
Total Average Time,42,1613.3988095238096
Current Action Time,42,1445.0
Total Average Time,43,1609.5755813953488
Current Action Time,43,1449.0
Total Average Time,44,1606.0170454545455
Current Action Time,44,1453.0
Total Average Time,45,1604.3833333333334
Current Action Time,45,1532.5
Total Average Time,46,1603.016304347826
Current Action Time,46,1541.5
Total Average Time,47,1600.9308510638298
Current Action Time,47,1505.0
Total Average Time,48,1598.4461805555557
Current Action Time,48,1481.6666666666667
Total Average Time,49,1594.1513605442178
Current Action Time,49,1388.0
Total Average Time,50,1591.2183333333335
Current Action Time,50,1447.5
