Series,Iteration,Average Time (ms)
Total Average Time,1,84.0
Current Action Time,1,84.0
Total Average Time,2,262.4
Current Action Time,2,440.8
Total Average Time,3,282.5444444444444
Current Action Time,3,322.8333333333333
Total Average Time,4,239.0958333333333
Current Action Time,4,108.75
Total Average Time,5,211.20166666666665
Current Action Time,5,99.625
Total Average Time,6,194.00138888888887
Current Action Time,6,108.0
Total Average Time,7,181.60833333333332
Current Action Time,7,107.25
Total Average Time,8,202.63229166666665
Current Action Time,8,349.8
Total Average Time,9,193.29814814814813
Current Action Time,9,118.625
Total Average Time,10,183.83083333333332
Current Action Time,10,98.625
Total Average Time,11,210.17348484848483
Current Action Time,11,473.6
Total Average Time,12,200.79444444444445
Current Action Time,12,97.625
Total Average Time,13,192.63717948717948
Current Action Time,13,94.75
Total Average Time,14,185.91309523809522
Current Action Time,14,98.5
Total Average Time,15,197.98555555555555
Current Action Time,15,367.0
Total Average Time,16,192.21302083333333
Current Action Time,16,105.625
Total Average Time,17,186.71519607843138
Current Action Time,17,98.75
Total Average Time,18,195.56435185185185
Current Action Time,18,346.0
Total Average Time,19,189.9622807017544
Current Action Time,19,89.125
Total Average Time,20,184.75791666666666
Current Action Time,20,85.875
Total Average Time,21,181.49733560090704
Current Action Time,21,116.28571428571429
Total Average Time,22,191.5110930735931
Current Action Time,22,401.8
Total Average Time,23,187.66278467908904
Current Action Time,23,103.0
Total Average Time,24,184.015376984127
Current Action Time,24,100.125
Total Average Time,25,180.3297619047619
Current Action Time,25,91.875
Total Average Time,26,188.50938644688645
Current Action Time,26,393.0
Total Average Time,27,185.12940917107585
Current Action Time,27,97.25
Total Average Time,28,181.94621598639455
Current Action Time,28,96.0
Total Average Time,29,178.88403119868636
Current Action Time,29,93.14285714285714
Total Average Time,30,187.44789682539684
Current Action Time,30,435.8
Total Average Time,31,184.63909370199693
Current Action Time,31,100.375
Total Average Time,32,181.65037202380952
Current Action Time,32,89.0
Total Average Time,33,179.1761183261183
Current Action Time,33,100.0
Total Average Time,34,176.94299719887954
Current Action Time,34,103.25
Total Average Time,35,183.97891156462583
Current Action Time,35,423.2
Total Average Time,36,181.71908068783068
Current Action Time,36,102.625
Total Average Time,37,179.7575611325611
Current Action Time,37,109.14285714285714
Total Average Time,38,177.94815162907267
Current Action Time,38,111.0
Total Average Time,39,182.389652014652
Current Action Time,39,351.1666666666667
Total Average Time,40,181.6705357142857
Current Action Time,40,153.625
Total Average Time,41,179.75174216027875
Current Action Time,41,103.0
Total Average Time,42,177.86777210884352
Current Action Time,42,100.625
Total Average Time,43,183.17782392026578
Current Action Time,43,406.2
Total Average Time,44,181.61412337662338
Current Action Time,44,114.375
Total Average Time,45,179.64214285714286
Current Action Time,45,92.875
Total Average Time,46,177.59013975155278
Current Action Time,46,85.25
Total Average Time,47,175.79300911854102
Current Action Time,47,93.125
Total Average Time,48,179.36676587301588
Current Action Time,48,347.3333333333333
Total Average Time,49,177.82101554907678
Current Action Time,49,103.625
Total Average Time,50,176.08209523809523
Current Action Time,50,90.875
