Series,Iteration,Average Time (ms)
Total Average Time,1,7.909090909090909
Current Action Time,1,7.909090909090909
Total Average Time,2,50.07954545454545
Current Action Time,2,92.25
Total Average Time,3,42.953030303030296
Current Action Time,3,28.7
Total Average Time,4,63.027272727272724
Current Action Time,4,123.25
Total Average Time,5,62.741818181818175
Current Action Time,5,61.6
Total Average Time,6,77.45151515151515
Current Action Time,6,151.0
Total Average Time,7,81.65685425685425
Current Action Time,7,106.88888888888889
Total Average Time,8,98.04349747474747
Current Action Time,8,212.75
Total Average Time,9,105.13588664421997
Current Action Time,9,161.875
Total Average Time,10,116.32229797979798
Current Action Time,10,217.0
Total Average Time,11,126.96345270890725
Current Action Time,11,233.375
Total Average Time,12,139.383164983165
Current Action Time,12,276.0
Total Average Time,13,152.26394716394717
Current Action Time,13,306.8333333333333
Total Average Time,14,170.93080808080808
Current Action Time,14,413.6
Total Average Time,15,186.1354208754209
Current Action Time,15,399.0
Total Average Time,16,201.26237373737374
Current Action Time,16,428.1666666666667
Total Average Time,17,222.0802733214498
Current Action Time,17,555.1666666666666
Total Average Time,18,244.6202581369248
Current Action Time,18,627.8
Total Average Time,19,263.6823498139288
Current Action Time,19,606.8
Total Average Time,20,278.5182323232323
Current Action Time,20,560.4
Total Average Time,21,299.9506974506975
Current Action Time,21,728.6
Total Average Time,22,316.8165748393021
Current Action Time,22,671.0
Total Average Time,23,353.9404918752745
Current Action Time,23,1170.6666666666667
Total Average Time,24,370.9221380471381
Current Action Time,24,761.5
Total Average Time,25,404.99191919191924
Current Action Time,25,1222.6666666666667
Total Average Time,26,422.54992229992234
Current Action Time,26,861.5
Total Average Time,27,439.5388140665919
Current Action Time,27,881.25
Total Average Time,28,466.8945707070707
Current Action Time,28,1205.5
Total Average Time,29,481.32349355625223
Current Action Time,29,885.3333333333334
Total Average Time,30,525.6793771043772
Current Action Time,30,1812.0
Total Average Time,31,546.5526230042359
Current Action Time,31,1172.75
Total Average Time,32,588.0770202020202
Current Action Time,32,1875.3333333333333
Total Average Time,33,609.9837771655954
Current Action Time,33,1311.0
Total Average Time,34,626.0234699940582
Current Action Time,34,1155.3333333333333
Total Average Time,35,675.4989898989899
Current Action Time,35,2357.6666666666665
Total Average Time,36,692.6517957351291
Current Action Time,36,1293.0
Total Average Time,37,728.7963417963418
Current Action Time,37,2030.0
Total Average Time,38,764.3894205209995
Current Action Time,38,2081.3333333333335
Total Average Time,39,782.9520849520849
Current Action Time,39,1488.3333333333333
Total Average Time,40,841.2032828282827
Current Action Time,40,3113.0
Total Average Time,41,859.2389751170236
Current Action Time,41,1580.6666666666667
Total Average Time,42,869.1261423761422
Current Action Time,42,1274.5
Total Average Time,43,931.0999530185575
Current Action Time,43,3534.0
Total Average Time,44,953.1582874196508
Current Action Time,44,1901.6666666666667
Total Average Time,45,974.7695847362511
Current Action Time,45,1925.6666666666667
Total Average Time,46,1027.3072024593762
Current Action Time,46,3391.5
Total Average Time,47,1039.9389641091766
Current Action Time,47,1621.0
Total Average Time,48,1053.0548190235688
Current Action Time,48,1669.5
Total Average Time,49,1102.3598227169653
Current Action Time,49,3469.0
Total Average Time,50,1116.282626262626
Current Action Time,50,1798.5
