Series,Iteration,Average Time (ms)
Total Average Time,1,2748.3333333333335
Current Action Time,1,2748.3333333333335
Total Average Time,2,2032.8666666666668
Current Action Time,2,1317.4
Total Average Time,3,1774.466666666667
Current Action Time,3,1257.6666666666667
Total Average Time,4,1648.1000000000001
Current Action Time,4,1269.0
Total Average Time,5,1854.5466666666666
Current Action Time,5,2680.3333333333335
Total Average Time,6,1770.788888888889
Current Action Time,6,1352.0
Total Average Time,7,1689.747619047619
Current Action Time,7,1203.5
Total Average Time,8,1814.6125
Current Action Time,8,2688.6666666666665
Total Average Time,9,1751.062962962963
Current Action Time,9,1242.6666666666667
Total Average Time,10,1699.3766666666666
Current Action Time,10,1234.2
Total Average Time,11,1759.8272727272727
Current Action Time,11,2364.3333333333335
