Series,Iteration,Average Time (ms)
Total Average Time,1,1917.5
Current Action Time,1,1917.5
Total Average Time,2,1914.25
Current Action Time,2,1911.0
Total Average Time,3,1910.6666666666667
Current Action Time,3,1903.5
Total Average Time,4,1909.25
Current Action Time,4,1905.0
Total Average Time,5,1909.9
Current Action Time,5,1912.5
Total Average Time,6,1912.0
Current Action Time,6,1922.5
Total Average Time,7,1913.7142857142858
Current Action Time,7,1924.0
Total Average Time,8,1910.125
Current Action Time,8,1885.0
Total Average Time,9,1907.4444444444443
Current Action Time,9,1886.0
Total Average Time,10,1906.9
Current Action Time,10,1902.0
Total Average Time,11,1905.3181818181818
Current Action Time,11,1889.5
Total Average Time,12,1904.4583333333333
Current Action Time,12,1895.0
Total Average Time,13,1904.3076923076924
Current Action Time,13,1902.5
Total Average Time,14,1903.5
Current Action Time,14,1893.0
Total Average Time,15,1903.9333333333334
Current Action Time,15,1910.0
Total Average Time,16,1904.21875
Current Action Time,16,1908.5
Total Average Time,17,1904.6764705882354
Current Action Time,17,1912.0
Total Average Time,18,1904.0555555555557
Current Action Time,18,1893.5
Total Average Time,19,1904.8684210526317
Current Action Time,19,1919.5
Total Average Time,20,1904.95
Current Action Time,20,1906.5
Total Average Time,21,1904.904761904762
Current Action Time,21,1904.0
Total Average Time,22,1904.1136363636363
Current Action Time,22,1887.5
Total Average Time,23,1904.8478260869565
Current Action Time,23,1921.0
Total Average Time,24,1904.4583333333333
Current Action Time,24,1895.5
Total Average Time,25,1903.82
Current Action Time,25,1888.5
Total Average Time,26,1903.1346153846155
Current Action Time,26,1886.0
Total Average Time,27,1903.962962962963
Current Action Time,27,1925.5
Total Average Time,28,1903.8035714285713
Current Action Time,28,1899.5
Total Average Time,29,1904.3620689655172
Current Action Time,29,1920.0
Total Average Time,30,1904.4666666666667
Current Action Time,30,1907.5
Total Average Time,31,1904.5806451612902
Current Action Time,31,1908.0
Total Average Time,32,1905.453125
Current Action Time,32,1932.5
Total Average Time,33,1905.621212121212
Current Action Time,33,1911.0
Total Average Time,34,1905.8235294117646
Current Action Time,34,1912.5
Total Average Time,35,1905.6142857142856
Current Action Time,35,1898.5
Total Average Time,36,1905.8055555555557
Current Action Time,36,1912.5
Total Average Time,37,1905.6891891891892
Current Action Time,37,1901.5
Total Average Time,38,1905.828947368421
Current Action Time,38,1911.0
Total Average Time,39,1906.1923076923076
Current Action Time,39,1920.0
Total Average Time,40,1906.5625
Current Action Time,40,1921.0
Total Average Time,41,1906.6951219512196
Current Action Time,41,1912.0
Total Average Time,42,1906.5238095238096
Current Action Time,42,1899.5
Total Average Time,43,1906.8023255813953
Current Action Time,43,1918.5
Total Average Time,44,1906.75
Current Action Time,44,1904.5
Total Average Time,45,1906.8111111111111
Current Action Time,45,1909.5
Total Average Time,46,1906.804347826087
Current Action Time,46,1906.5
Total Average Time,47,1906.6808510638298
Current Action Time,47,1901.0
Total Average Time,48,1906.7708333333333
Current Action Time,48,1911.0
Total Average Time,49,1906.7687074829932
Current Action Time,49,1906.6666666666667
Total Average Time,50,1906.8133333333335
Current Action Time,50,1909.0
