Series,Iteration,Average Time (ms)
Total Average Time,1,545.0
Current Action Time,1,545.0
Total Average Time,2,568.375
Current Action Time,2,591.75
Total Average Time,3,563.75
Current Action Time,3,554.5
Total Average Time,4,552.6625
Current Action Time,4,519.4
Total Average Time,5,559.63
Current Action Time,5,587.5
Total Average Time,6,548.725
Current Action Time,6,494.2
Total Average Time,7,551.05
Current Action Time,7,565.0
Total Average Time,8,551.64375
Current Action Time,8,555.8
Total Average Time,9,552.8499999999999
Current Action Time,9,562.5
Total Average Time,10,548.845
Current Action Time,10,512.8
Total Average Time,11,551.7454545454545
Current Action Time,11,580.75
Total Average Time,12,552.1625
Current Action Time,12,556.75
Total Average Time,13,552.1807692307692
Current Action Time,13,552.4
Total Average Time,14,555.4892857142856
Current Action Time,14,598.5
Total Average Time,15,560.2066666666666
Current Action Time,15,626.25
Total Average Time,16,560.1781249999999
Current Action Time,16,559.75
Total Average Time,17,563.1794117647058
Current Action Time,17,611.2
Total Average Time,18,561.7388888888888
Current Action Time,18,537.25
Total Average Time,19,561.9631578947368
Current Action Time,19,566.0
Total Average Time,20,561.875
Current Action Time,20,560.2
Total Average Time,21,563.8928571428571
Current Action Time,21,604.25
Total Average Time,22,564.75
Current Action Time,22,582.75
Total Average Time,23,568.0760869565217
Current Action Time,23,641.25
Total Average Time,24,567.5812500000001
Current Action Time,24,556.2
Total Average Time,25,567.148
Current Action Time,25,556.75
Total Average Time,26,566.8923076923077
Current Action Time,26,560.5
Total Average Time,27,566.8870370370371
Current Action Time,27,566.75
Total Average Time,28,566.1767857142858
Current Action Time,28,547.0
Total Average Time,29,565.0672413793104
Current Action Time,29,534.0
Total Average Time,30,565.3233333333334
Current Action Time,30,572.75
Total Average Time,31,569.8397849462366
Current Action Time,31,705.3333333333334
Total Average Time,32,576.7354166666667
Current Action Time,32,790.5
Total Average Time,33,578.8722222222223
Current Action Time,33,647.25
Total Average Time,34,578.1995098039215
Current Action Time,34,556.0
Total Average Time,35,579.1509523809524
Current Action Time,35,611.5
Total Average Time,36,580.3203703703704
Current Action Time,36,621.25
Total Average Time,37,582.2981981981982
Current Action Time,37,653.5
Total Average Time,38,582.590350877193
Current Action Time,38,593.4
Total Average Time,39,582.8188034188034
Current Action Time,39,591.5
Total Average Time,40,582.7983333333334
Current Action Time,40,582.0
Total Average Time,41,583.4983739837398
Current Action Time,41,611.5
Total Average Time,42,583.0519841269842
Current Action Time,42,564.75
Total Average Time,43,585.6011627906977
Current Action Time,43,692.6666666666666
Total Average Time,44,591.1500000000001
Current Action Time,44,829.75
Total Average Time,45,592.1577777777778
Current Action Time,45,636.5
Total Average Time,46,590.5782608695653
Current Action Time,46,519.5
Total Average Time,47,590.890425531915
Current Action Time,47,605.25
Total Average Time,48,589.9864583333334
Current Action Time,48,547.5
Total Average Time,49,588.9969387755102
Current Action Time,49,541.5
Total Average Time,50,589.647
Current Action Time,50,621.5
