Series,Iteration,Average Time (ms)
Total Average Time,1,708.25
Current Action Time,1,708.25
Total Average Time,2,718.25
Current Action Time,2,728.25
Total Average Time,3,721.1666666666666
Current Action Time,3,727.0
Total Average Time,4,753.9583333333334
Current Action Time,4,852.3333333333334
Total Average Time,5,734.8066666666667
Current Action Time,5,658.2
Total Average Time,6,723.0055555555556
Current Action Time,6,664.0
Total Average Time,7,734.004761904762
Current Action Time,7,800.0
Total Average Time,8,739.0458333333333
Current Action Time,8,774.3333333333334
Total Average Time,9,746.262962962963
Current Action Time,9,804.0
Total Average Time,10,809.4366666666667
Current Action Time,10,1378.0
Total Average Time,11,811.821212121212
Current Action Time,11,835.6666666666666
Total Average Time,12,855.3083333333333
Current Action Time,12,1333.6666666666667
Total Average Time,13,854.7653846153845
Current Action Time,13,848.25
Total Average Time,14,847.5321428571427
Current Action Time,14,753.5
Total Average Time,15,837.3466666666666
Current Action Time,15,694.75
Total Average Time,16,827.0124999999999
Current Action Time,16,672.0
Total Average Time,17,824.2764705882353
Current Action Time,17,780.5
Total Average Time,18,816.9138888888888
Current Action Time,18,691.75
Total Average Time,19,810.1421052631579
Current Action Time,19,688.25
Total Average Time,20,807.9849999999999
Current Action Time,20,767.0
Total Average Time,21,802.1880952380951
Current Action Time,21,686.25
Total Average Time,22,800.7590909090908
Current Action Time,22,770.75
Total Average Time,23,796.3673913043477
Current Action Time,23,699.75
Total Average Time,24,791.2062499999998
Current Action Time,24,672.5
Total Average Time,25,786.7779999999999
Current Action Time,25,680.5
Total Average Time,26,786.5173076923076
Current Action Time,26,780.0
Total Average Time,27,784.7481481481481
Current Action Time,27,738.75
Total Average Time,28,781.5696428571428
Current Action Time,28,695.75
Total Average Time,29,779.3172413793102
Current Action Time,29,716.25
Total Average Time,30,778.7316666666666
Current Action Time,30,761.75
Total Average Time,31,779.6758064516129
Current Action Time,31,808.0
Total Average Time,32,779.2484374999999
Current Action Time,32,766.0
Total Average Time,33,777.6727272727272
Current Action Time,33,727.25
Total Average Time,34,778.8686274509803
Current Action Time,34,818.3333333333334
Total Average Time,35,782.315238095238
Current Action Time,35,899.5
Total Average Time,36,781.1768518518517
Current Action Time,36,741.3333333333334
Total Average Time,37,787.3680180180179
Current Action Time,37,1010.25
Total Average Time,38,789.4899122807016
Current Action Time,38,868.0
Total Average Time,39,791.9132478632478
Current Action Time,39,884.0
Total Average Time,40,793.2904166666665
Current Action Time,40,847.0
Total Average Time,41,792.7650406504064
Current Action Time,41,771.75
Total Average Time,42,804.3341269841268
Current Action Time,42,1278.6666666666667
Total Average Time,43,800.5879844961238
Current Action Time,43,643.25
Total Average Time,44,799.2393939393937
Current Action Time,44,741.25
Total Average Time,45,798.9562962962962
Current Action Time,45,786.5
Total Average Time,46,798.4844202898549
Current Action Time,46,777.25
Total Average Time,47,800.1124113475175
Current Action Time,47,875.0
Total Average Time,48,797.5163194444443
Current Action Time,48,675.5
Total Average Time,49,798.5925170068026
Current Action Time,49,850.25
Total Average Time,50,799.0506666666665
Current Action Time,50,821.5
