Series,Iteration,Average Time (ms)
Total Average Time,1,3187.6666666666665
Current Action Time,1,3187.6666666666665
Total Average Time,2,3631.833333333333
Current Action Time,2,4076.0
Total Average Time,3,4194.555555555556
Current Action Time,3,5320.0
Total Average Time,4,4380.041666666666
Current Action Time,4,4936.5
Total Average Time,5,4102.133333333333
Current Action Time,5,2990.5
Total Average Time,6,3882.8333333333326
Current Action Time,6,2786.3333333333335
Total Average Time,7,3796.6428571428564
Current Action Time,7,3279.5
Total Average Time,8,3985.8124999999995
Current Action Time,8,5310.0
Total Average Time,9,3916.981481481481
Current Action Time,9,3366.3333333333335
Total Average Time,10,3935.283333333333
Current Action Time,10,4100.0
Total Average Time,11,4019.7575757575755
Current Action Time,11,4864.5
Total Average Time,12,4063.111111111111
Current Action Time,12,4540.0
Total Average Time,13,3970.0769230769224
Current Action Time,13,2853.6666666666665
Total Average Time,14,3940.0357142857138
Current Action Time,14,3549.5
Total Average Time,15,4007.066666666666
Current Action Time,15,4945.5
Total Average Time,16,4042.0312499999995
Current Action Time,16,4566.5
Total Average Time,17,3976.5
Current Action Time,17,2928.0
Total Average Time,18,3950.3055555555557
Current Action Time,18,3505.0
Total Average Time,19,4009.5263157894738
Current Action Time,19,5075.5
Total Average Time,20,4038.05
Current Action Time,20,4580.0
Total Average Time,21,3984.492063492063
Current Action Time,21,2913.3333333333335
Total Average Time,22,3987.3787878787875
Current Action Time,22,4048.0
Total Average Time,23,4027.231884057971
Current Action Time,23,4904.0
Total Average Time,24,4047.909722222222
Current Action Time,24,4523.5
Total Average Time,25,4002.8066666666664
Current Action Time,25,2920.3333333333335
Total Average Time,26,4002.5448717948716
Current Action Time,26,3996.0
Total Average Time,27,4035.006172839506
Current Action Time,27,4879.0
Total Average Time,28,4052.505952380952
Current Action Time,28,4525.0
Total Average Time,29,4011.9597701149423
Current Action Time,29,2876.6666666666665
Total Average Time,30,3996.7111111111108
Current Action Time,30,3554.5
Total Average Time,31,4031.817204301075
Current Action Time,31,5085.0
Total Average Time,32,4049.9635416666665
Current Action Time,32,4612.5
Total Average Time,33,4014.5404040404032
Current Action Time,33,2881.0
Total Average Time,34,4018.6715686274506
Current Action Time,34,4155.0
Total Average Time,35,4045.1952380952375
Current Action Time,35,4947.0
Total Average Time,36,4058.453703703703
Current Action Time,36,4522.5
Total Average Time,37,4026.8018018018015
Current Action Time,37,2887.3333333333335
Total Average Time,38,4014.1885964912276
Current Action Time,38,3547.5
Total Average Time,39,4038.773504273504
Current Action Time,39,4973.0
Total Average Time,40,4051.4041666666662
Current Action Time,40,4544.0
Total Average Time,41,4022.768292682927
Current Action Time,41,2877.3333333333335
Total Average Time,42,4026.2976190476193
Current Action Time,42,4171.0
Total Average Time,43,4047.1627906976746
Current Action Time,43,4923.5
Total Average Time,44,4061.6704545454545
Current Action Time,44,4685.5
Total Average Time,45,4046.2185185185185
Current Action Time,45,3366.3333333333335
Total Average Time,46,4046.2789855072465
Current Action Time,46,4049.0
Total Average Time,47,4065.1560283687945
Current Action Time,47,4933.5
Total Average Time,48,4077.465277777778
Current Action Time,48,4656.0
Total Average Time,49,4053.5034013605446
Current Action Time,49,2903.3333333333335
Total Average Time,50,4052.7133333333336
Current Action Time,50,4014.0
