Series,Iteration,Average Time (ms)
Total Average Time,1,268.6666666666667
Current Action Time,1,268.6666666666667
Total Average Time,2,453.0
Current Action Time,2,637.3333333333334
Total Average Time,3,523.5
Current Action Time,3,664.5
Total Average Time,4,463.2083333333333
Current Action Time,4,282.3333333333333
Total Average Time,5,426.0
Current Action Time,5,277.1666666666667
Total Average Time,6,395.8611111111111
Current Action Time,6,245.16666666666666
Total Average Time,7,373.42857142857144
Current Action Time,7,238.83333333333334
Total Average Time,8,357.75
Current Action Time,8,248.0
Total Average Time,9,400.6666666666667
Current Action Time,9,744.0
Total Average Time,10,396.58333333333337
Current Action Time,10,359.8333333333333
Total Average Time,11,389.54848484848486
Current Action Time,11,319.2
Total Average Time,12,379.5444444444445
Current Action Time,12,269.5
Total Average Time,13,410.6564102564103
Current Action Time,13,784.0
Total Average Time,14,401.7809523809524
Current Action Time,14,286.4
Total Average Time,15,392.5733333333334
Current Action Time,15,263.6666666666667
Total Average Time,16,387.5
Current Action Time,16,311.4
Total Average Time,17,380.48039215686276
Current Action Time,17,268.1666666666667
Total Average Time,18,397.9166666666667
Current Action Time,18,694.3333333333334
Total Average Time,19,393.780701754386
Current Action Time,19,319.3333333333333
Total Average Time,20,389.0083333333333
Current Action Time,20,298.3333333333333
Total Average Time,21,383.9365079365079
Current Action Time,21,282.5
Total Average Time,22,380.26666666666665
Current Action Time,22,303.2
Total Average Time,23,393.0268115942029
Current Action Time,23,673.75
Total Average Time,24,391.65763888888887
Current Action Time,24,360.1666666666667
Total Average Time,25,387.86466666666666
Current Action Time,25,296.8333333333333
Total Average Time,26,382.67756410256413
Current Action Time,26,253.0
Total Average Time,27,378.91172839506174
Current Action Time,27,281.0
Total Average Time,28,392.2630952380952
Current Action Time,28,752.75
Total Average Time,29,392.74252873563216
Current Action Time,29,406.1666666666667
Total Average Time,30,388.7011111111111
Current Action Time,30,271.5
Total Average Time,31,384.8559139784946
Current Action Time,31,269.5
Total Average Time,32,380.92812499999997
Current Action Time,32,259.1666666666667
Total Average Time,33,376.9353535353535
Current Action Time,33,249.16666666666666
Total Average Time,34,387.3098039215686
Current Action Time,34,729.6666666666666
Total Average Time,35,384.8914285714285
Current Action Time,35,302.6666666666667
Total Average Time,36,382.311111111111
Current Action Time,36,292.0
Total Average Time,37,379.5729729729729
Current Action Time,37,281.0
Total Average Time,38,376.11929824561395
Current Action Time,38,248.33333333333334
Total Average Time,39,374.49658119658113
Current Action Time,39,312.8333333333333
Total Average Time,40,381.4466666666666
Current Action Time,40,652.5
Total Average Time,41,379.7609756097561
Current Action Time,41,312.3333333333333
Total Average Time,42,376.57142857142856
Current Action Time,42,245.8
Total Average Time,43,374.0426356589147
Current Action Time,43,267.8333333333333
Total Average Time,44,370.99999999999994
Current Action Time,44,240.16666666666666
Total Average Time,45,369.2933333333333
Current Action Time,45,294.2
Total Average Time,46,377.841304347826
Current Action Time,46,762.5
Total Average Time,47,381.37234042553183
Current Action Time,47,543.8
Total Average Time,48,379.26388888888886
Current Action Time,48,280.1666666666667
Total Average Time,49,377.5102040816326
Current Action Time,49,293.3333333333333
Total Average Time,50,375.8159999999999
Current Action Time,50,292.8
